GalaxyID_test,Mass_Host,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
9508202,76040994816.0,28000000000002,9562859,14910180,257.70498356747424,463.5804937029715,21.223223515950146,33.711917033284195,0.3154588957449128,0.8239677073085387,3,3,10
9517736,22329968640.0,28000000000002,9542932,9552226,677.9667826163732,1051.229437949668,56.69509839592409,97.04501112154522,1.7220593205454677,1.4123982590599822,1,12,17
14957972,54086471680.0,28000000000002,14910180,9562859,506.28311658719116,598.6225986270493,28.819484928405465,37.510623380398016,1.1584287570225915,0.44350846914035563,3,3,12
10265953,12953462784.0,28000000002097,10492298,17079993,4451.4514720324105,4466.0359085929385,370.80027191771495,403.59116539617,0.7834415795392615,4.678487819554769,0,0,0
10507082,15120269312.0,28000000002364,18096815,16530722,1735.7212250456096,2710.645096872429,182.56533371571916,206.70341652687836,2.129798492308759,5.869238070883377,0,1,2
10806033,12639842304.0,28000000002503,10112025,10226251,917.1873166703228,1540.0036454909423,71.95367086748286,146.65688378599177,1.2433594715834835,1.1662089394370976,1,2,3
10873831,12203298816.0,28000000002588,9103215,8756516,2037.903742708492,2460.67409298373,196.258541714418,225.60437065413697,2.279303237214117,0.9478567431975272,0,0,3
10883094,14906868736.0,28000000002601,18029434,10431233,3436.6401800660387,4286.225106179069,490.75851263339314,426.40967192024686,3.2351263325701294,0.7396274178877964,0,0,0
10324277,19314659328.0,28000000002158,16009893,16005098,874.3836149181247,1358.328751768166,80.42254912360352,103.08639284994679,3.585194167396707,3.4882004914438425,1,2,3
10326234,13068054528.0,28000000002160,18073059,13823710,840.1133022271802,845.2939738461739,62.95929720649638,109.59380923269347,2.904702262350401,0.7662308964617139,3,7,8
10352660,10067390464.0,28000000002189,15358400,17348507,7636.19593754383,9730.992794973828,749.0172798170021,656.6039313655592,4.1920846557918905,7.156508977935675,0,0,0
10400500,13115790336.0,28000000002241,9952720,10304879,5639.8426160628,6600.115320879942,615.6213121331461,949.5724725598784,1.1299869171681154,1.091546719888036,0,0,0
10480764,15105589248.0,28000000002333,10014008,10139494,937.1382565216804,3169.972295446054,95.34349245489142,269.0247049805881,1.3913914956202575,1.1647159566667968,1,1,1
10525701,13790127104.0,28000000002385,11048306,9922347,2045.780698639896,2698.6530728072303,195.9176608441533,267.97555845280857,0.8882646597540744,0.9367084725602831,0,0,2
10774874,10535205888.0,28000000002466,10773626,10222239,1609.4356976439833,2740.8568192764733,163.78169217865116,375.51496895721664,1.2382086541714865,2.1211933531792027,0,1,2
10888018,11874514944.0,28000000002607,9636079,18158078,1920.5168442366887,1960.720903522482,199.95798599687228,168.69720514024817,1.3040379758690042,2.163604716922069,0,2,2
10925514,12930941952.0,28000000002659,8814842,9266059,4048.7354787143995,8211.141271095397,523.3591001857937,959.7355177404795,1.4513831426717707,1.238900644629543,0,0,0
12174564,44126593024.0,28000000000029,12182126,12176835,182.85264672921258,546.5762560553776,16.658711434856446,43.1807683497194,0.30186694741547787,0.7584548134454224,4,7,8
