GalaxyID_test,Mass_Host,SubGroupNumber,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1[kpc],R_2[kpc],r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
14957972,54086471680.0,5,28000000000002,3489838,3493216,123.72907634365201,289.12044196597435,8.90151463782224,20.601150329834322,0.08520836891092985,0.02921230065344133,14,28,83
21573586,1665041563648.0,0,28000000000002,3436883,3456595,22.9423131628763,42.41817480216097,0.15113646918336593,0.27619348952885825,0.016516365751103712,0.015384177202086489,101,161,186
59039334,3926846976.0,194,28000000000002,21573586,3436883,45.20970854760931,62.491362033764986,0.29786536280486503,16.26826496920238,424.0148836520387,7.003184902308758,101,160,186
59040002,3293423104.0,197,28000000000002,9512113,3467928,66.89909095869382,136.6301211270692,5.432368686601637,22.95301199221112,40.84284054624765,4.913735896352053,92,161,188
59040506,2781980416.0,201,28000000000002,3503264,3501816,151.71024316731467,165.85094466002622,18.819192929825704,20.0573345913714,0.867699428118476,0.9434341841175635,89,147,188
7796780,1585010688.0,0,28000400002497,61598240,10671686,474.9710746517564,553.8175499722987,61.29783310358368,56.28333416649792,0.7853733892297892,3.4294378310211115,6,82,130
60704520,1137315584.0,0,28000500001672,4533974,4544751,751.2697293674298,1070.4725239524785,108.33131432198896,138.5483071024756,3.287294781322543,1.5438712215869892,1,78,120
61006317,1019089600.0,0,28000700002250,11114869,5824946,1209.5061159088882,1218.4840669499183,111.82951959813421,106.47120971036485,5.817505255671336,4.082418221125994,0,12,44
4456329,33234878464.0,24,28000000000004,4471813,60886954,124.28186321404011,130.64354056171123,13.624577584108897,18.47126700195489,0.8404708463807669,0.06603295927130248,72,118,133
4458732,31028850688.0,25,28000000000004,4496460,4499394,151.84795339576524,293.3342011571261,18.237914446145258,35.50048486171464,0.15520707281183588,0.09608670324205854,66,112,138
4461431,42991951872.0,27,28000000000004,4476932,21924775,90.76064475298631,98.02693979391843,10.825180522078616,0.5930861390119556,0.517811122283534,18.66994255570793,73,117,133
4469363,30368733184.0,28,28000000000004,4480428,10667287,118.04049361736557,125.67362782183808,14.338104031730445,16.098923979296497,0.5145845667422622,0.5957250650656578,51,112,130
4470669,26528749568.0,32,28000000000004,10649315,10632940,196.8211687312004,319.6859791933756,17.3447499745342,22.26158340283997,1.4343510950059717,3.0060609915890626,71,116,133
4471813,27932946432.0,34,28000000000004,60878568,14978115,76.30964117720204,76.71098481889823,12.354685541930964,3.8222680954003465,0.28792632655416395,11.135570337530227,79,121,133
60884710,1256827264.0,204,28000000000004,60884521,4484048,83.98835498852284,129.23885581596977,10.23823077568766,20.02581939448915,0.976309107183722,7.674854462737053,79,118,134
60886954,2194597376.0,227,28000000000004,4497472,4456329,85.09358719300761,130.64354056171123,13.073438920505087,18.47126700195489,2.2100292021856496,15.143952520610323,71,119,133
60882491,1827733760.0,172,28000000000004,15705955,4494543,75.73013950919925,326.19192280322875,6.984283829341162,38.9231296937415,46.59202348595892,0.999452419153214,11,97,124
60882837,1937234688.0,176,28000000000004,21924775,4461431,39.86437509295026,103.47032061684232,0.24239543288178844,13.00013430844193,414.33145750485346,22.19243344046501,63,115,133
60883120,1248084992.0,182,28000000000004,10665676,60886954,151.32023290721187,214.3934586943385,18.706917475257708,38.262768376307115,17.951058102299495,1.7583717375555141,65,118,133
60883614,1169988864.0,194,28000000000004,10669398,10632940,63.32436400604019,167.4524759043522,7.9105305803264905,13.432726290669278,9.359819301664738,68.16051133970451,81,115,135
60883703,1997577600.0,195,28000000000004,15691064,4508363,32.7899590054593,83.01195456885186,2.7039188752797156,12.724485013019823,65.93135455263415,0.738706625464763,69,113,134
60884521,1227051904.0,200,28000000000004,60884710,4484048,83.98835498852284,149.4834049840104,10.23823077568766,20.092360791952053,1.0242657705863436,7.861090720413404,77,117,135
4509050,1359890048.0,160,28000000000004,60882271,10661221,138.4374356633863,155.50382563996496,16.353962744726523,19.198722202134356,1.2778818541659038,18.284936542163738,81,119,133
60878568,8042630656.0,87,28000000000004,14978115,4471813,27.52929769707469,76.30964117720204,1.433229863787608,12.354685541930964,38.675068274576255,3.4731106806653287,81,120,135
60881224,3256711936.0,136,28000000000004,60883703,15691064,136.33412756153805,140.95563465505225,19.301513584597117,10.149252094381932,0.6133725178203787,40.4404809452573,75,112,134
60881657,3292563456.0,142,28000000000004,4481514,4502889,209.16027073920364,214.11671357820168,30.977177795166675,29.211171328851137,3.4318518974657537,0.7853235870938368,81,114,134
60881947,2926533888.0,144,28000000000004,4484048,60884710,138.29235222641424,183.01110029320654,18.500304168995918,22.213504295861583,3.296037806209063,0.4294593235887382,79,118,133
60882271,1737778816.0,165,28000000000004,10661221,4493254,124.42173979051374,129.2213203365463,16.054839833275846,16.856219536694024,14.308784871273284,3.049663913039667,82,120,133
4504953,2751138816.0,134,28000000000004,10642203,4492584,226.67452007898186,227.2506908289157,30.558547747175417,21.378477564191932,11.390205455921276,1.4210172373941017,61,110,134
4505485,1867920128.0,138,28000000000004,4490352,4489453,156.98983793590804,267.66647951935647,15.600464737797783,30.586098594028034,1.6054915170334307,3.2044051425308053,60,113,132
4505890,1767125760.0,140,28000000000004,10651123,4481514,111.00664256279703,125.01678020054848,13.847482840163082,17.894582417296128,34.49113646784256,6.3943327632776965,83,119,135
4506155,1412924032.0,141,28000000000004,4505890,10651123,244.18604395508362,262.07623402813607,31.396045720110425,33.39098024595912,1.2506870291523218,43.137617001053314,81,118,134
4506914,1614785920.0,147,28000000000004,4492883,4637908,549.0052737225108,604.9008685097829,70.76037485396394,82.93402081449054,2.9830157548066807,0.7426599706789616,6,75,124
4508363,1475623808.0,155,28000000000004,60883703,15691064,83.01195456885186,87.71988324311403,12.724485013019823,6.571425407925745,1.3537173832315939,89.25242075790634,67,112,134
10265953,12953462784.0,0,28000000002097,4324476,13514852,3829.1165965365876,3849.595760037003,447.4039438266782,448.6823961969823,0.11815828721031511,0.08035958641775336,0,0,0
10266851,9987638272.0,0,28000000002098,13485803,12790954,2402.011115284088,3689.314130455789,338.3636616310098,543.1991712785593,0.16080558028443584,0.15226879374111157,0,0,1
10314380,9350443008.0,0,28000000002147,11193561,18439238,4965.307485388036,6474.73539565814,839.6475484464444,494.4265664803167,0.3591817017788939,3.684767938644389,0,0,0
10348673,14599352320.0,0,28000000002184,3122290,12045333,383.719244240303,971.4209034999767,39.57717434478584,88.04683932019458,0.18385604656741375,0.15972993958131973,2,11,40
3122290,2684179200.0,1,28000000002184,10348673,12045333,383.719244240303,689.3208097439199,39.57717434478584,71.07089205002345,5.439037870496873,0.8687771904349755,2,7,38
10381830,9647435776.0,0,28000000002220,10987642,10789798,2766.61213533494,3422.6710449732363,371.1105502000323,550.3926206481127,1.1887304799198075,0.3904255123802132,0,0,1
10394535,9943272448.0,0,28000000002234,3402522,1727931,1748.3334248040712,1895.5045443085007,169.53821588714092,223.7330158970447,0.22494636325185807,0.14219950779729454,0,3,12
10426328,7987316736.0,0,28000000002270,11837730,8552200,2527.353631617102,3175.051702165256,311.34407128563447,331.8483506849121,0.3476401755153835,2.8920438855124426,0,0,1
10494337,9832066048.0,0,28000000002349,11972397,3282097,1577.110787800961,1800.853421589607,224.99820868017818,239.09569800790825,0.14666351598536373,0.14980228090510078,0,2,2
10507082,15120269312.0,0,28000000002364,11030845,18096815,1513.4194658846045,1735.7212250456096,186.24518885681607,182.56533371571916,0.4261905210170902,2.129798492308759,0,3,7
10537185,5320568320.0,0,28000000002399,10200518,11327398,1659.050165063965,1880.203074168891,153.7193901169545,178.24755850484152,2.733302571707227,0.6280831352993509,0,2,2
10550781,8951957504.0,0,28000000002414,12555651,12960679,4120.281620174895,4964.214900829166,653.3121562465661,658.9159706272528,0.2503822573999565,0.29501912345092385,0,0,0
10765197,7211780096.0,0,28000000002453,11997255,12077678,978.4102493264054,2144.177448513425,117.91513295269115,267.23312318613716,0.4279614196378292,0.41009514885796094,1,1,6
10806033,12639842304.0,0,28000000002503,10112025,18176453,917.1873166703228,1319.1617607233159,71.95367086748286,146.08751147146202,1.2433594715834835,4.40737204944167,1,3,6
10807883,7706973184.0,0,28000000002505,8903543,10955145,2341.2989350708644,2404.4141011751735,192.69824392348528,222.32544205509393,4.899614832758707,0.5165643571026081,0,0,3
10848497,9008231424.0,0,28000000002555,11659404,12439162,3884.6019914427375,3958.878821169777,571.0513285170082,596.6546028980827,0.19483350253680162,0.36089647600953995,0,0,0
10873831,12203298816.0,0,28000000002588,59447030,12564159,30.354585134811146,836.7621884931099,3.829158633487784,83.36268735682643,0.1078456194381203,0.22737238199576346,2,2,8
59447030,1316072320.0,1,28000000002588,10873831,12564159,30.354585134811146,857.1578740780333,3.829158633487784,100.4994810735162,9.272513850910563,2.1083135613702444,2,2,8
10883094,14906868736.0,0,28000000002601,3866985,12568150,2891.726992038274,2978.9496743571012,410.41740899549006,382.94006543783826,0.0888514238272823,0.14496876830887526,0,0,2
10883983,9629412352.0,0,28000000002602,2519313,8535364,1535.5317133709962,1593.7224628921513,214.47364594585446,189.50060968810104,0.23668854346305182,0.5190572393508401,0,9,13
10910419,3531742976.0,0,28000000002638,3169927,10033281,174.45429422566843,1036.0527026705736,23.903222889276805,142.1428731949442,0.7340968902942047,2.178362641981793,1,4,7
3169927,2592641536.0,1,28000000002638,10910419,10033281,174.45429422566843,1089.5552112770145,23.903222889276805,171.3022077119867,1.3622180031292996,2.9674048082519033,1,4,7
10919441,7420391936.0,0,28000000002651,11143558,13336286,795.7323195188636,923.4312065079696,81.60998908695409,95.2719576914861,0.5871269298948254,0.17958244948424246,2,2,2
10935211,3875808512.0,0,28000000002672,9995575,13089530,5136.684792123382,5340.589463506581,628.7705780839939,681.436660487517,2.3552241540667733,0.3270218773904174,0,0,0
10951225,5961260032.0,0,28000000002692,9990416,9989645,1731.8483811089916,2028.4838526905498,198.41871928322445,219.75305482554444,0.30014488856304933,1.153864104413555,0,1,2
10977745,4978089984.0,0,28000000002727,10027820,13370720,3020.806776818873,6081.813145827341,262.86025751135753,512.8300363956356,3.783213779688881,0.3408850425472743,0,0,0
10988394,5793345536.0,0,28000000002742,12351135,9156676,6167.926330461954,7300.254945206166,885.8598348729656,817.4989921980139,0.21959254460046762,4.244102585494393,0,0,0
11036393,2798209792.0,0,28000000002808,11036794,11371234,293.41893848394983,5966.754552662113,36.838784410827486,664.5961928734822,0.5563074064176529,1.7707573857278534,1,1,1
11036794,1556664832.0,1,28000000002808,11036393,11051666,293.41893848394983,6070.278081899812,36.838784410827486,787.5416052652555,1.7975672954626112,3.1593524584745034,1,1,1
60729444,1786229888.0,0,28000500003903,71203,4200395,1197.9049494267908,1319.6909689562629,149.81690615793016,146.39338461180944,2.2272709390472363,0.5980991221662953,0,14,78
60837246,1051956352.0,0,28000600005070,4840955,13494740,903.8666021230969,939.6851567372183,65.60513341923772,80.41283394011434,1.070436990906634,2.401092960936843,2,36,216
10223104,8658766848.0,0,28000000002053,59335925,12550557,22.306390662783947,2259.233804795143,2.9023258858683874,243.59913725598764,0.11761997082012203,0.19459405035131394,1,1,2
59335925,1018443904.0,3,28000000002053,10223104,12550557,22.306390662783947,2244.8969233539387,2.9023258858683874,371.9823489626372,8.501957558970277,1.6544303573149965,1,1,2
10272400,8316460032.0,0,28000000002103,12808203,11722546,2435.0521319859904,3603.8674690736466,265.05913298642736,382.0940945131276,0.2755694330498527,0.23318164417771353,0,0,1
10276940,9813762048.0,0,28000000002108,1372476,1373238,1390.9882063632383,1436.2263983034477,177.3863531210574,149.82646326785434,0.7249385209467023,0.6834386469933696,0,7,8
10324277,19314659328.0,0,28000000002158,16009893,16005098,874.3836149181247,1358.328751768166,80.42254912360352,103.08639284994679,3.585194167396707,3.4882004914438425,1,2,4
10326234,13068054528.0,0,28000000002160,18073059,13823710,840.1133022271802,845.2939738461739,62.95929720649637,109.59380923269349,2.904702262350401,0.7662308964617139,4,15,23
10352660,10067390464.0,0,28000000002189,11162395,12039713,3813.095221354127,6750.096040876102,504.33968087511755,891.9867260566398,0.3168728352602814,0.11747889626703566,0,0,0
10398750,9481387008.0,0,28000000002239,11905705,13247081,1774.1066941462066,2424.4345381212206,166.42158597698847,208.95770361611656,0.4525640643483372,0.3580378504891423,0,1,4
10400500,13115790336.0,0,28000000002241,12824074,13617552,4382.511639359895,5411.661254923776,709.0381916431886,764.6946847160468,0.11074161043984532,0.08307260577423124,0,0,0
10444583,15413520384.0,0,28000000002291,13311106,10563047,1140.3767021508081,2333.1906764285777,133.14478771078154,256.34106866104065,0.07199137824165477,0.3760800201112577,0,1,3
10462668,7165671936.0,0,28000000002312,11788009,12552068,1505.0588879176398,3192.954752549479,139.40119789693867,272.7930103095238,0.25626060478356794,0.2858707217265493,0,1,1
10480764,15105589248.0,0,28000000002333,10014008,11694537,937.1382565216804,1451.5330660270017,95.3434924548914,210.82657365842041,1.3913914956202575,0.3160229174530246,1,2,2
10505261,6139222528.0,0,28000000002362,12400539,4311939,728.2436782499013,2149.259745464622,74.86902955813102,219.70431758450383,0.2233552189623448,0.16356635313675993,1,1,6
10525701,13790127104.0,0,28000000002385,11048306,12268453,2045.780698639896,2358.2026897129012,195.91766084415332,244.8701940237572,0.8882646597540744,0.16534442059918522,0,0,5
10774874,10535205888.0,0,28000000002466,13045176,13074218,1123.1340025533837,1471.756866421351,150.35474089440112,179.25490285174737,0.13160461017465785,0.3201473675841275,0,6,11
10789798,3766605056.0,0,28000000002484,10987642,10443502,1080.0567392843973,3099.4234931702686,123.75133530221248,406.15300244724324,3.0447049237965023,3.071992342167132,0,1,1
10832558,7450108928.0,0,28000000002534,14101953,12486813,4247.012011838728,7969.854666055513,315.3009941492759,561.2808251208463,3.803909203728625,0.4181329467938754,0,0,0
10888018,11874514944.0,0,28000000002607,3969506,2850794,1020.9140586711496,1827.6736041341517,89.96957692054637,228.65199922109403,0.10534525257657548,0.2231971387883244,0,4,7
10889623,8524024320.0,0,28000000002609,2811335,17966782,2905.499904855841,2928.950239298993,378.21099785648124,292.2677182061418,0.1719406450496847,5.485591271518099,0,0,2
10925514,12930941952.0,0,28000000002659,13343650,8814842,2542.700114652418,4048.7354787143995,350.23908732636727,523.3591001857937,0.09852748954633928,1.4513831426717707,0,0,1
10928926,4878889472.0,0,28000000002664,10911011,11605274,1395.0329858866296,2662.0335556314176,132.79086797518298,228.376373418403,2.1269696416684885,1.5390468398788928,0,1,2
10949216,9702179840.0,0,28000000002690,3113560,10292035,889.1788819047148,933.8517694458751,98.82425975906595,75.41941048949474,0.13882200229345573,0.9202933892431332,2,3,7
10991125,6120019968.0,0,28000000002745,12867670,10489943,3735.2592012462137,4013.147007438769,485.5861482290539,483.9177825873881,0.2556987421907706,0.598243946121713,0,0,0
11027699,6762349056.0,0,28000000002795,3992628,11115642,3272.710995911565,3782.605366714049,415.33766142352334,470.74821279726615,0.24186164932566295,0.8880999306995844,0,0,0
11039374,6798407680.0,0,28000000002813,3186667,12800386,96.13687805292564,3084.3728465766058,13.439228491345673,465.16148957302613,0.2516806005961678,0.3323320886810954,1,1,1
3186667,1711027328.0,1,28000000002813,11039374,12800386,96.13687805292564,3011.281612799761,13.439228491345673,429.5611921602837,3.9732899461907367,1.3204517467531647,1,1,1
11054742,6434671104.0,0,28000000002834,1752497,13871597,923.7739563126875,1535.8097811071345,104.05713345746308,152.02683567154116,0.2821030860258868,2.2092725353379614,1,12,23
1,55155961856.0,42,28000000000000,21242350,49621513,38.28901871518249,67.95507341544015,0.5011914136740315,19.621758821084143,25.058663900748346,0.11750942813618875,65,110,142
13631,52623806464.0,45,28000000000000,48441,21109760,122.01181686579193,137.57905386137878,24.711201546323295,1.7369978360326335,0.27580608578607896,23.471117777634735,49,95,161
21793,40004214784.0,54,28000000000000,29817,54094,237.6088063969144,249.78640258821622,29.893449314836364,29.940561770173964,0.5872477411404151,0.22478366183546586,56,107,141
23301,42122772480.0,61,28000000000000,8141417,49621513,77.71714276144903,120.64589541575656,14.021831153045255,40.692048461772664,0.8433769161055944,0.15386797103816846,64,113,143
24477,26114242560.0,66,28000000000000,8128760,28850,248.56126786787806,353.2235783113887,25.845360513999804,52.08452935828131,1.7368364050303131,1.186206204251478,40,85,142
26263,36057960448.0,68,28000000000000,38951,13631,91.79659173879209,195.7321494114912,16.918995765333225,51.3245013313894,0.5229325361092592,1.4594227130480655,50,92,160
49640289,1050496896.0,593,28000000000000,18481114,57961,114.70227761907044,168.09230397247677,3.0428201834534403,23.56510845320998,610.3727275972836,13.396431610208204,42,95,172
49641427,1332979712.0,604,28000000000000,8061834,77231,25.688170820236202,203.45624901436665,2.8998486295345858,29.018908496706455,47.59348809053742,2.5281458327251722,24,85,158
49643617,2000864128.0,625,28000000000000,49619496,8092293,5.303982294542601,11.219273734351619,2.2603937790037287,2.9144045035694988,3.9527699743937834,44.94241086619151,62,105,144
49644694,1471674752.0,630,28000000000000,13945981,101960,145.6507366623415,252.99006797494738,13.706495834435929,40.52697169401071,49.88544895006801,1.1634615961665964,35,72,147
49645135,1050628096.0,632,28000000000000,49625953,26263,145.44868504255237,217.122861239067,23.31877336273921,58.6507423983968,2.1790485222279834,34.32038471584906,50,90,153
49649854,1080156800.0,680,28000000000000,8117169,49628148,205.45592005739294,217.22427714975913,42.83900730598709,24.290747769062936,37.58704306634,1.6268083152371953,42,82,161
49629316,1131197184.0,438,28000000000000,59097,49629161,191.64362522892014,298.2562021495747,22.02620098664775,35.31876947334235,8.16562553253315,1.1259534677200893,43,80,163
49629481,1158718336.0,439,28000000000000,68766,18481114,125.03209001354496,149.6114226760562,20.09507408617226,3.874126808147617,9.570748900274587,553.365417481406,41,88,167
49630893,1532979328.0,456,28000000000000,49623621,13921560,257.3295336098971,262.6967471344536,38.313405664257786,21.118212370999032,1.908546482369787,146.92348661338244,32,122,170
49633040,1069393920.0,499,28000000000000,72819,47679,321.7779266132537,432.022465757054,40.74731139687876,39.2561529243792,5.862345235701358,4.960970191414591,50,93,139
49633740,1260128128.0,514,28000000000000,68766,49629481,217.93667604885192,232.24734543174867,39.6529629580577,28.642112104105305,8.800535432536588,0.9195242215877273,40,89,163
49634128,1009846784.0,523,28000000000000,76613,33115,260.10450470220417,292.7434425692528,34.38324184461211,30.98092374482257,1.6199547039405138,13.707252794499171,34,92,149
49627581,2637508096.0,404,28000000000000,49622895,42233,48.436164855956534,84.29415325310795,17.81101115818327,18.794445654360562,2.087964144774326,7.107206744285952,63,109,145
49627890,1608807168.0,408,28000000000000,49643617,49619496,57.16636405421487,59.755905025825264,12.631130336805912,12.36056391805633,1.2436941902039065,4.916037052365993,62,105,143
49628148,1757208064.0,414,28000000000000,8117169,49649854,149.98526908544733,217.22427714975913,18.682836920153186,24.290747769062936,23.104776828522454,0.6147005708255161,42,82,161
49628366,1021590464.0,425,28000000000000,81651,57961,241.27375098812402,257.1782786558872,24.306499976665496,29.954290987264315,4.473604170212771,13.775490590327202,44,88,170
49628555,1578855936.0,426,28000000000000,43261,49621827,201.75631505405252,204.2517209525711,35.387692303555994,29.953936275249987,13.69506466738204,2.8212344055183007,39,101,170
49629161,1273675392.0,437,28000000000000,59097,49625560,145.82992195308344,148.85198433952888,16.625656009250864,19.046597984601082,7.252187383078529,1.4387827695425868,39,83,166
49625735,1854651264.0,381,28000000000000,65695,21109760,48.872384523606875,49.49305845221249,12.970849131393841,0.6241368012385526,7.904552432343421,665.9686289271037,45,99,160
49625953,2289369600.0,384,28000000000000,49645135,56965,145.44868504255237,161.15838000622023,23.31877336273921,24.739533423325273,0.4589158937027905,6.715650603554796,48,91,155
