GalaxyID_test,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_2
9498012,28000000000002,9532694,3461244,0.5059414761673414,0.5187907850478252,40.25941350436786,48.79740047753198,0.6492625961118791,0.12563014233358594,35
9508202,28000000000002,9562859,14910180,0.25770498356747423,0.4635804937029715,21.223223515950146,33.711917033284195,0.3154588957449128,0.8239677073085387,3
9512113,28000000000002,3467928,9554089,0.15047539027009507,0.23195555137545737,13.328678224730856,18.67431260074856,0.12030837793439153,0.31434549934001277,34
9517736,28000000000002,9537911,9542932,0.4237625840599794,0.6779667826163732,37.49081710598116,56.69509839592409,1.9995913165778634,1.7220593205454677,35
9519365,28000000000002,9542932,9539937,0.6342241425264881,0.9525787415287204,38.1351296426292,67.82380217577214,0.7955870665679788,0.6154510126881136,34
9521792,28000000000002,9532694,3477850,0.5221117550858525,0.6419375943405699,53.04582534740222,75.87610508125503,1.717907779463971,0.21609954160058184,40
2721236,28000000000002,3467011,3436883,0.05751737964937195,0.0908820677977958,13.51032500012905,20.923177761075472,0.3413155550397923,0.5549392432529652,45
2727611,28000000000002,3467928,9554089,0.1900511647253007,0.24371832863139228,35.64115027900499,37.70477273045521,0.362403327601677,0.9468987690911763,44
14957972,28000000000002,14910180,9562859,0.5062831165871912,0.5986225986270494,28.819484928405465,37.510623380398016,1.1584287570225915,0.44350846914035563,5
21573586,28000000000002,14916079,14895218,0.6119925252470739,1.4162408330504226,3.9110286061071133,8.80174986000627,0.22532765017229042,0.13206416164544862,2
4456329,28000000000004,4471813,4481850,0.12428186321404011,0.14696055026589178,13.624577584108899,14.121574839951272,0.8404708463807669,0.45636154199958984,39
4458732,28000000000004,10645724,4461431,0.3173830671492802,0.32813569347112276,33.388685169493705,36.91789178578634,1.5991130768884507,1.3855476731732952,38
4461431,28000000000004,4476932,21924775,0.09076064475298631,0.09802693979391842,10.825180522078616,0.5930861390119556,0.517811122283534,18.66994255570793,41
4469363,28000000000004,4480428,10667287,0.11804049361736557,0.12567362782183808,14.338104031730445,16.098923979296497,0.5145845667422622,0.5957250650656578,40
4470669,28000000000004,10649315,10632940,0.1968211687312004,0.3196859791933756,17.344749974534203,22.26158340283997,1.4343510950059717,3.0060609915890626,39
4471813,28000000000004,14978115,4481850,0.07671098481889822,0.11200750410786232,3.8222680954003465,13.457397154824772,11.135570337530227,0.5429831908682765,41
10265953,28000000002097,10492298,17079993,4.45145147203241,4.466035908592938,370.80027191771495,403.59116539617,0.7834415795392615,4.678487819554769,0
10348673,28000000002184,19402355,11025588,1.9210746616717325,1.9593137596043027,116.20460265888198,172.5800135343785,12.476831463164524,0.7268149802415345,3
10507082,28000000002364,18096815,16530722,1.7357212250456096,2.7106450968724287,182.56533371571916,206.70341652687836,2.129798492308759,5.869238070883377,1
10806033,28000000002503,10112025,18176453,0.9171873166703228,1.319161760723316,71.95367086748286,146.08751147146202,1.2433594715834835,4.40737204944167,3
10873831,28000000002588,9103215,8756516,2.037903742708492,2.46067409298373,196.258541714418,225.60437065413697,2.279303237214117,0.9478567431975272,0
10883094,28000000002601,18029434,10431233,3.4366401800660387,4.286225106179069,490.75851263339314,426.40967192024686,3.2351263325701294,0.7396274178877964,0
10324277,28000000002158,16009893,16005098,0.8743836149181248,1.3583287517681661,80.42254912360352,103.08639284994679,3.585194167396707,3.4882004914438425,2
10326234,28000000002160,18073059,13823710,0.8401133022271802,0.8452939738461739,62.95929720649638,109.59380923269347,2.904702262350401,0.7662308964617139,7
10352660,28000000002189,8335907,15358400,7.494514309617663,7.63619593754383,827.3199063464948,749.0172798170021,5.686552401907514,4.1920846557918905,0
10400500,28000000002241,9952720,10304879,5.6398426160628,6.600115320879943,615.6213121331461,949.5724725598784,1.1299869171681154,1.091546719888036,0
10444583,28000000002291,8903543,20655128,3.451191295891429,3.7055399395922346,330.6192547766913,197.3202831113192,2.4498751217922936,10.887632201025413,0
10480764,28000000002333,10014008,10139494,0.9371382565216805,3.169972295446054,95.34349245489142,269.0247049805881,1.3913914956202575,1.1647159566667968,1
10525701,28000000002385,11048306,9922347,2.045780698639896,2.69865307280723,195.9176608441533,267.97555845280857,0.8882646597540744,0.9367084725602831,0
10774874,28000000002466,10773626,10222239,1.6094356976439832,2.7408568192764733,163.78169217865116,375.51496895721664,1.2382086541714865,2.1211933531792027,1
10888018,28000000002607,9636079,18158078,1.9205168442366887,1.9607209035224822,199.95798599687228,168.69720514024817,1.3040379758690042,2.163604716922069,2
10925514,28000000002659,8814842,9266059,4.048735478714399,8.211141271095398,523.3591001857937,959.7355177404795,1.4513831426717707,1.238900644629543,0
1,28000000000000,21242350,42233,0.03828901871518249,0.14232898926732088,0.5011914136740315,27.024769424978324,25.058663900748346,0.3398601836903845,37
13631,28000000000000,48441,21109760,0.12201181686579193,0.13757905386137878,24.71120154632329,1.7369978360326332,0.27580608578607896,23.471117777634735,34
21793,28000000000000,29817,42233,0.2376088063969144,0.303878495492841,29.893449314836364,44.8522019782412,0.5872477411404151,0.46858350874311716,37
23301,28000000000000,8141417,1,0.07771714276144903,0.16038417752650297,14.021831153045257,40.19382165547289,0.8433769161055944,1.3094095808196906,42
24477,28000000000000,8128760,28850,0.24856126786787805,0.3532235783113887,25.845360513999804,52.08452935828131,1.7368364050303131,1.186206204251478,33
26263,28000000000000,38951,13631,0.0917965917387921,0.1957321494114912,16.918995765333225,51.3245013313894,0.5229325361092592,1.4594227130480655,32
