GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,1
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,3
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,5
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,10
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,20
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,30
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,40
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,50
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,70
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,100
