GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize,Mass_Star,SFR
1,28,2.220446049250313e-16,42,11.388980865478516,80.65984344482422,54.157325744628906,55155961856.0,0.0,0.0,28144717824.0,0.0,2.2443342208862305,0.0,4.429900169372559,0.6983147263526917,0.012035627849400043,0.02511351928114891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428814888000488,1,10,55153586176.0,0.0
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,10,51234840576.0,0.0
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,10,35728662528.0,0.0
23301,28,2.220446049250313e-16,61,11.48902416229248,80.55663299560547,54.22847366333008,42122772480.0,0.0,0.0,67099418624.0,50741852.0,1.7459352016448975,0.0,8.699904441833496,0.6724380850791931,0.0156039884313941,0.03545120730996132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.492469787597656,23301,10,40602607616.0,0.0
24477,28,2.220446049250313e-16,66,17.554473876953125,80.00369262695312,53.143672943115234,26114242560.0,0.0,0.0,98627698688.0,0.0,5.366182804107666,0.0,12.118521690368652,0.7187768816947937,0.007285587023943663,0.01559858862310648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44559097290039,24477,10,21245919232.0,0.0
26263,28,2.220446049250313e-16,68,16.983808517456055,79.9753189086914,52.63167190551758,36057960448.0,0.0,0.0,54844874752.0,102751304.0,1.4813268184661865,0.0,6.576908588409424,0.6781406402587891,0.014769657514989376,0.03299538791179657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.232381820678711,26263,10,35402526720.0,0.0
27473,28,2.220446049250313e-16,70,11.2420072555542,80.80387115478516,53.78124237060547,27008782336.0,0.0,0.0,79353954304.0,73021960.0,3.167340040206909,0.0,8.854720115661621,0.7144668698310852,0.00852745771408081,0.017652692273259163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.731099128723145,27473,10,24373999616.0,0.0
28850,28,2.220446049250313e-16,71,17.212024688720703,79.93711853027344,53.08832550048828,30976876544.0,0.0,0.0,73207291904.0,71918248.0,1.415554165840149,0.0,9.403526306152344,0.686137318611145,0.013413350097835064,0.029788212850689888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.460822105407715,28850,10,29288515584.0,0.0
29817,28,2.220446049250313e-16,78,11.085229873657227,80.8948745727539,54.13241195678711,23492384768.0,0.0,0.0,86615539712.0,19932892.0,4.195694923400879,0.0,13.022825241088867,0.694972813129425,0.011307877488434315,0.02583458088338375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.639206409454346,29817,10,18426109952.0,0.0
30902,28,2.220446049250313e-16,80,17.22797966003418,79.76374816894531,52.662410736083984,17284452352.0,0.0,0.0,99897753600.0,64133092.0,4.703930854797363,0.0,9.385952949523926,0.7237511873245239,0.006590076256543398,0.01367866713553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.497759819030762,30902,10,15038146560.0,0.0
32366,28,2.220446049250313e-16,82,17.14836311340332,79.72063446044922,53.13066101074219,19251904512.0,284343616.0,0.0,93334216704.0,14735035.0,3.3586697578430176,0.9675158858299255,14.378644943237305,0.7003433704376221,0.01045303512364626,0.023667147383093834,0.5282153487205505,0.03695052117109299,0.099541574716568,0.0,0.0,0.0,0.22116774320602417,7.078531265258789,32366,10,15754693632.0,0.22116774320602417
33115,28,2.220446049250313e-16,86,17.218303680419922,79.72479248046875,53.66598892211914,13842225152.0,0.0,0.0,119927717888.0,16335147.0,5.565923690795898,0.0,15.99516487121582,0.7063703536987305,0.009320955723524094,0.020962264388799667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.072925567626953,33115,10,10027591680.0,0.0
33640,28,2.220446049250313e-16,87,11.991018295288086,80.42213439941406,54.73089599609375,13851889664.0,0.0,0.0,119016390656.0,10865242.0,3.633054733276367,0.0,15.749448776245117,0.7040309309959412,0.009804194793105125,0.022004514932632446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07279109954834,33640,10,12615641088.0,0.0
34156,28,2.220446049250313e-16,89,17.014808654785156,79.82666015625,52.915000915527344,25695123456.0,0.0,0.0,31111405568.0,41310584.0,3.1803805828094482,0.0,4.90787935256958,0.6954508423805237,0.011734763160347939,0.02588319592177868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.864313125610352,34156,10,24493869056.0,0.0
35657,28,2.220446049250313e-16,90,16.98527717590332,79.6002197265625,52.611289978027344,20730697728.0,0.0,0.0,66440155136.0,14516975.0,4.904612064361572,0.0,8.783723831176758,0.6997182965278625,0.010715101845562458,0.023967459797859192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.189007759094238,35657,10,16784361472.0,0.0
