GalaxyID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen
20967939,12,57165910016.0,0.741115927696228,0.0029961694963276386
20970611,12,24997466112.0,0.7382975220680237,0.003922043833881617
20979652,12,15271385088.0,0.7209731936454773,0.00691312225535512
21023868,12,13428860928.0,0.7238021492958069,0.006749575026333332
21027921,12,15526946816.0,0.735650360584259,0.003282510209828615
21036555,12,16365069312.0,0.739560604095459,0.003755199257284403
21059578,12,80247816192.0,0.7228325009346008,0.006630168296396732
21063955,12,36052729856.0,0.6668334603309631,0.017866050824522972
25995519,12,20194983936.0,0.740508496761322,0.003190654329955578
26010458,12,14389204992.0,0.7370719909667969,0.0036529293283820152
12145087,12,10714005504.0,0.7155760526657104,0.009106225334107876
12172333,12,10852028416.0,0.7288228869438171,0.005705107934772968
12206179,12,10353670144.0,0.724225640296936,0.006660465616732836
15127588,12,10888309760.0,0.7232617735862732,0.0068731908686459064
15134544,12,25657761792.0,0.7299754619598389,0.0055779702961444855
15136815,12,11167932416.0,0.7190948724746704,0.00808979757130146
15141092,12,35419873280.0,0.6968505382537842,0.012239408679306507
15151471,12,10090071040.0,0.723214328289032,0.007832905277609825
15189939,12,11011321856.0,0.7372418642044067,0.0038881907239556313
15214274,12,16922438656.0,0.7313328385353088,0.0050990101881325245
21932709,12,12836892672.0,0.7181903719902039,0.007520284503698349
21938831,12,10866496512.0,0.739726722240448,0.0034838353749364614
21986377,12,77389357056.0,0.6923308372497559,0.011783510446548462
22005749,12,47897681920.0,0.7248302698135376,0.006304133217781782
22009700,12,29796837376.0,0.7188127040863037,0.007426928728818893
22011961,12,11459696640.0,0.7159194946289062,0.008697619661688805
22022916,12,16073499648.0,0.7330478429794312,0.0047795893624424934
22026299,12,10016013312.0,0.7150846123695374,0.008504593744874
60880030,12,13040480256.0,0.7323460578918457,0.004350264556705952
6588858,12,14831628288.0,0.7223323583602905,0.006951950956135988
6600571,12,17676029952.0,0.7125585079193115,0.008818665519356728
9595985,12,21259982848.0,0.7243589162826538,0.007337645161896944
13204885,12,10866124800.0,0.7205910086631775,0.006669758819043636
13259043,12,11883474944.0,0.7246135473251343,0.006882297340780497
13266455,12,26371491840.0,0.7344676852226257,0.0038203385192900896
17109615,12,10329697280.0,0.7297158241271973,0.005369759164750576
17120141,12,11060009984.0,0.733610987663269,0.004455950111150742
20640577,12,30858053632.0,0.7329308986663818,0.004616413731127977
20642184,12,16594938880.0,0.7262807488441467,0.006185178644955158
20655144,12,61563285504.0,0.6967539191246033,0.011026252992451191
20670343,12,29097426944.0,0.734348475933075,0.004124643746763468
20683872,12,22585036800.0,0.7271308302879333,0.00649834331125021
20695135,12,10800318464.0,0.7304757237434387,0.0055783940479159355
20717376,12,13806867456.0,0.7252264618873596,0.006468635983765125
20727483,12,12356697088.0,0.7265200018882751,0.006626558490097523
20733657,12,11753154560.0,0.7387369275093079,0.0035086264833807945
20742154,12,21082544128.0,0.722162663936615,0.007259994279593229
2666766,12,12084554752.0,0.7335698008537292,0.004205562639981508
2721252,12,18625146880.0,0.7383155822753906,0.003776229452341795
17494085,12,14748198912.0,0.7277398705482483,0.006449150387197733
17542176,12,15897532416.0,0.7279663681983948,0.005996789317578077
17559563,12,34967965696.0,0.7221482396125793,0.00703405449166894
17574694,12,14090089472.0,0.7299883961677551,0.0051117404364049435
17578618,12,10869272576.0,0.731656551361084,0.00513617554679513
21169312,12,12638140416.0,0.718324601650238,0.00842638686299324
21170777,12,13533894656.0,0.7414669394493103,0.00314502464607358
21209079,12,16615067648.0,0.7282575368881226,0.005987522192299366
21242366,12,29042511872.0,0.7137443423271179,0.00904911756515503
21245106,12,21101979648.0,0.7403650283813477,0.003414508420974016
21259785,12,10161360896.0,0.7405031323432922,0.003595710964873433
21261482,12,11437485056.0,0.7296516299247742,0.005893482360988855
21268434,12,114681274368.0,0.7209129333496094,0.007061866112053394
21275631,12,19258740736.0,0.7251430749893188,0.006352929398417473
2631037,12,10559683584.0,0.7175790667533875,0.008290210738778114
2648897,12,10034183168.0,0.7231230735778809,0.0071265604346990585
14295512,12,24426432512.0,0.7285030484199524,0.005855883006006479
14302690,12,21203101696.0,0.7194129228591919,0.007801460102200508
14308507,12,27666096128.0,0.7017114758491516,0.01049363799393177
14325100,12,11972134912.0,0.7267911434173584,0.006374259013682604
14359570,12,47568904192.0,0.7156722545623779,0.007741335313767195
14373878,12,13331467264.0,0.7227070331573486,0.0076417578384280205
14379158,12,16387900416.0,0.7343614101409912,0.004297391511499882
17842859,12,24708143104.0,0.7017188668251038,0.010765930637717247
17866304,12,13820800000.0,0.7278589010238647,0.005543199833482504
17891619,12,18485100544.0,0.7366768717765808,0.0042276508174836636
21489299,12,25551845376.0,0.6929450631141663,0.012210272252559662
21506413,12,18746896384.0,0.7174494862556458,0.008371260948479176
21577533,12,13777579008.0,0.7419185042381287,0.002880701096728444
14202053,12,22442573824.0,0.7224975824356079,0.006512586493045092
14237130,12,14715092992.0,0.7262620329856873,0.005630770232528448
14243478,12,16423667712.0,0.7210559248924255,0.007458187639713287
17611291,12,12201193472.0,0.7348758578300476,0.004185343161225319
17621418,12,11385875456.0,0.7196103930473328,0.007937420159578323
17643593,12,14007131136.0,0.725250780582428,0.005470398813486099
21285010,12,59239464960.0,0.7418172955513,0.00293332408182323
21289469,12,19748134912.0,0.7379236817359924,0.004014778882265091
21355647,12,12105299968.0,0.7257662415504456,0.006628165487200022
21379537,12,59500060672.0,0.737562894821167,0.0038708685897290707
21382485,12,20733980672.0,0.7283855676651001,0.004644289612770081
21388616,12,31481034752.0,0.7375584840774536,0.0036727755796164274
21389890,12,10047963136.0,0.7139284014701843,0.009539235383272171
10578124,12,17842214912.0,0.726491391658783,0.005918660666793585
10586253,12,20405078016.0,0.7253499627113342,0.006666418630629778
10587131,12,12515304448.0,0.6957408785820007,0.012803326360881329
10591049,12,37321637888.0,0.7417020797729492,0.002991925925016403
10613632,12,11910992896.0,0.7356637120246887,0.004533985164016485
10637669,12,10067267584.0,0.7286593914031982,0.006291615776717663
10647702,12,14954855424.0,0.7380361557006836,0.0028568056877702475
12713757,12,19690334208.0,0.6945240497589111,0.01144152320921421
12760739,12,18382561280.0,0.7318114638328552,0.005126782692968845
15673389,12,11845724160.0,0.7291672825813293,0.005275912117213011
