GalaxyID,Redshift,SnapNum,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge
27489,3.0165045261383057,12,0,5.1349334716796875,86.48039245605469,58.738868713378906,16921512960.0,14237862912.0,40300544000.0,709299339264.0,27185482.0,1.1109750270843506,25.620319366455078,32.88675308227539,0.724373996257782,0.006834068801254034,0.013471690937876701,0.7122095823287964,0.008946816436946392,0.01858140528202057,0.7487664222717285,0.000790901540312916,0.0015416877577081323,25.983013153076172,0.5639601349830627
28317,3.0165045261383057,12,0,4.793949127197266,85.9291763305664,58.519752502441406,3292108288.0,7417769984.0,14660623360.0,226873753600.0,7293549.5,2.920036792755127,14.04788875579834,22.931928634643555,0.7432042360305786,0.0025552911683917046,0.0044562723487615585,0.7385910749435425,0.0037185533437877893,0.006783110089600086,0.7492828965187073,0.0007266320171765983,0.0013235177611932158,6.865696907043457,0.6092087626457214
28866,3.0165045261383057,12,0,24.426240921020508,78.70543670654297,66.91956329345703,2365936896.0,4239080192.0,15537897472.0,264558428160.0,3616303.5,2.344756603240967,22.37874984741211,24.121671676635742,0.7438958883285522,0.002399433869868517,0.004091509617865086,0.737577497959137,0.003970000892877579,0.0071952189318835735,0.749272882938385,0.0007363241165876389,0.0013275151140987873,3.1158628463745117,0.5685538053512573
30918,3.0165045261383057,12,0,18.986736297607422,75.33029174804688,59.16342544555664,9447160832.0,13732566016.0,32798459904.0,713293627392.0,23356704.0,3.7106807231903076,26.334917068481445,31.9293212890625,0.738160252571106,0.0037896144203841686,0.006961946841329336,0.7362964153289795,0.004312615841627121,0.007956719025969505,0.7479013204574585,0.0010614378843456507,0.0019954300951212645,8.361461639404297,0.659247636795044
33131,3.0165045261383057,12,0,27.617338180541992,79.2840347290039,65.87361907958984,2046210176.0,4009910528.0,15353221120.0,224653606912.0,10889701.0,4.012089729309082,20.265605926513672,22.58452033996582,0.7455237507820129,0.0019247210584580898,0.003225643653422594,0.7397673726081848,0.003480474464595318,0.006091981660574675,0.7491134405136108,0.0007938934140838683,0.001382514019496739,3.0358097553253174,0.5202820301055908
33656,3.0165045261383057,12,0,6.746993064880371,81.33753967285156,66.94188690185547,1663994368.0,5430074368.0,20937953280.0,276211859456.0,5436195.0,4.193760871887207,20.506973266601562,28.358428955078125,0.7464722394943237,0.0017036880599334836,0.002789423568174243,0.7426512837409973,0.0028494352009147406,0.004759426694363356,0.7502909302711487,0.0004670535563491285,0.0008061546250246465,3.459014892578125,0.442467600107193
34172,3.0165045261383057,12,0,23.568540573120117,74.4832534790039,62.40086364746094,16807487488.0,19871522816.0,57687457792.0,831039930368.0,19749752.0,1.5076067447662354,39.300724029541016,40.26478576660156,0.7279455065727234,0.006215470843017101,0.011800521053373814,0.7235919833183289,0.006684698164463043,0.013384969905018806,0.7490819096565247,0.0007083007367327809,0.0013666801387444139,17.826541900634766,0.5588824152946472
35673,3.0165045261383057,12,0,25.269420623779297,75.73523712158203,57.13130569458008,3121820416.0,6819216384.0,21940295680.0,285247635456.0,7241908.0,2.1788008213043213,21.754711151123047,26.55253028869629,0.741401195526123,0.0030997050926089287,0.005431339610368013,0.7375755310058594,0.003985393792390823,0.007351214531809092,0.7500472664833069,0.0005321828066371381,0.0009698877111077309,5.713362216949463,0.5374463200569153
37192,3.0165045261383057,12,0,20.541973114013672,78.47411346435547,61.514888763427734,3782533632.0,8624680960.0,22010001408.0,329195290624.0,7237878.5,3.2527177333831787,18.94181251525879,26.387496948242188,0.7429329752922058,0.002640057820826769,0.004580747801810503,0.7385560274124146,0.003706097835674882,0.006736492272466421,0.7492008805274963,0.0007534835021942854,0.0013457913883030415,6.286849021911621,0.5737472772598267
37894,3.0165045261383057,12,0,12.135968208312988,87.38748931884766,60.60820770263672,4990285824.0,7919393792.0,17480146944.0,348255780864.0,7321177.0,1.045816421508789,15.302518844604492,25.91564178466797,0.7372663021087646,0.0041291117668151855,0.007566738408058882,0.7275571227073669,0.006386519875377417,0.01230402197688818,0.749333381652832,0.0006999640027061105,0.0013156995410099626,11.325847625732422,0.47304585576057434
38563,3.0165045261383057,12,0,3.779895782470703,82.96277618408203,57.29137420654297,1729444608.0,2969716992.0,7901314048.0,128449667072.0,1844203.5,2.0614473819732666,13.667778968811035,17.091373443603516,0.7417902946472168,0.002805239986628294,0.005048089660704136,0.7356563210487366,0.004236449487507343,0.008127905428409576,0.7491825819015503,0.0007300366996787488,0.0013667508028447628,2.3614614009857178,0.7115660309791565
38967,3.0165045261383057,12,1,23.96579933166504,78.2170639038086,57.12346649169922,4369349120.0,9176171520.0,17782198272.0,239826354176.0,7253752.5,3.0356364250183105,13.970573425292969,19.175983428955078,0.7434543967247009,0.002574161160737276,0.004363811109215021,0.7360547780990601,0.004578267689794302,0.008171950466930866,0.7494212985038757,0.0007093888125382364,0.0012564044445753098,7.844916343688965,0.46903225779533386
39874,3.0165045261383057,12,0,24.605592727661133,78.02864837646484,56.7996711730957,3127907328.0,8223076352.0,36092940288.0,449568964608.0,10883579.0,2.3102667331695557,29.5979061126709,34.55339431762695,0.7443989515304565,0.002265837974846363,0.0038338240701705217,0.7404913306236267,0.003416147781535983,0.005942050833255053,0.7505831718444824,0.0003954308049287647,0.0006906104390509427,9.058582305908203,0.4820961356163025
43277,3.0165045261383057,12,0,15.716322898864746,83.50178527832031,50.71636962890625,2734494464.0,6834921472.0,19789793280.0,336476274688.0,7273259.0,5.57958459854126,18.381689071655273,24.542335510253906,0.7455345392227173,0.0019681390840560198,0.0032598786056041718,0.741908073425293,0.0031436693388968706,0.005242457613348961,0.7493411898612976,0.000741149764508009,0.0012836330570280552,4.049384593963623,0.4508695602416992
43814,3.0165045261383057,12,1,15.633524894714355,83.0147933959961,50.680686950683594,1032919616.0,1752954112.0,6284988416.0,120703328256.0,5463742.5,2.229248046875,13.824053764343262,16.60933494567871,0.7446061372756958,0.0020908990409225225,0.0036228387616574764,0.7377724647521973,0.003838044824078679,0.007025064434856176,0.74970942735672,0.0005900446558371186,0.001092750346288085,1.1213945150375366,0.6334443688392639
44064,3.0165045261383057,12,0,20.165857315063477,75.53419494628906,59.70326614379883,3357053440.0,9257815040.0,23376979968.0,329408610304.0,3630039.5,2.1042418479919434,19.999771118164062,30.72272300720215,0.7429404854774475,0.0026550490874797106,0.0045973919332027435,0.7412753105163574,0.0030739891808480024,0.005512619856745005,0.749891459941864,0.0005746138631366193,0.0010310859652236104,7.816420555114746,0.5024703741073608
47040,3.0165045261383057,12,0,12.764444351196289,88.91788482666016,60.76728820800781,3291321600.0,5534521856.0,13604800512.0,247087939584.0,3616656.25,2.4261996746063232,19.334716796875,24.85665512084961,0.7421078085899353,0.0029148664325475693,0.005054936278611422,0.7349051833152771,0.004628575872629881,0.008662604726850986,0.7488098740577698,0.0008552553481422365,0.0015684793470427394,5.333108425140381,0.5670121312141418
48457,3.0165045261383057,12,0,23.1591854095459,73.42158508300781,63.316925048828125,9109467136.0,10928695296.0,18137069568.0,314778779648.0,10217672.0,1.5118108987808228,13.719463348388672,24.041818618774414,0.7298274040222168,0.0056895664893090725,0.010961140505969524,0.7220594882965088,0.007076435722410679,0.014415650628507137,0.7472913861274719,0.0011322362115606666,0.0022595992777496576,13.525702476501465,0.6269304156303406
50774,3.0165045261383057,12,0,2.298893928527832,92.23191833496094,62.5049934387207,7294311936.0,11973303296.0,19735678976.0,415801147392.0,9064907.0,2.6312735080718994,14.760151863098145,26.403539657592773,0.7384102940559387,0.003715556813403964,0.0068108388222754,0.7319995164871216,0.005179476924240589,0.009934061206877232,0.7478538751602173,0.0010671401396393776,0.0020107696764171124,10.404581069946289,0.6269854307174683
54110,3.0165045261383057,12,0,4.985367298126221,82.46424865722656,66.06172180175781,1215183232.0,2045776000.0,11455109120.0,174103642112.0,3685917.5,3.670684337615967,18.80423927307129,19.259830474853516,0.7459710836410522,0.0017814362654462457,0.002997189061716199,0.7410451769828796,0.0031184565741568804,0.005405495408922434,0.7491397261619568,0.0007882919162511826,0.0013773253886029124,1.0786012411117554,0.5859895348548889
54543,3.0165045261383057,12,0,12.634821891784668,89.319091796875,62.20654296875,1737187840.0,3671795456.0,13608944640.0,190691868672.0,5460290.5,2.4310383796691895,16.827333450317383,19.812185287475586,0.7450659871101379,0.0019929816480726004,0.0034497566521167755,0.7416774034500122,0.002709014341235161,0.005050975829362869,0.7496421337127686,0.0006139453034847975,0.001117237377911806,2.53359317779541,0.7269191741943359
56559,3.0165045261383057,12,0,8.26078987121582,81.5983657836914,67.62686157226562,2005401856.0,5500262912.0,12324320256.0,244014628864.0,7240289.0,3.880704879760742,14.280606269836426,22.853633880615234,0.7460465431213379,0.0017675127601251006,0.0029456771444529295,0.7413256764411926,0.0030876740347594023,0.005312314257025719,0.749299943447113,0.0007365026394836605,0.0012896155240014195,3.6518170833587646,0.5461212992668152
