GalaxyID,Redshift,SnapNum,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge
15804178,2.0124101638793945,15,0,60.9989013671875,50.58515548706055,96.27650451660156,25230073856.0,1610438528.0,31496921088.0,1101172965376.0,89067880.0,1.1288412809371948,60.2598991394043,43.31089401245117,0.7252547740936279,0.0068197245709598064,0.013090492226183414,0.7325177788734436,0.003298999508842826,0.008550655096769333,0.7485741972923279,0.000627204542979598,0.0015044445171952248,0.9164940714836121,1.3287220001220703
15806838,2.0124101638793945,15,0,61.39585494995117,51.644081115722656,95.72309112548828,4965436416.0,8032655360.0,23744022528.0,359114178560.0,9109934.0,4.326157093048096,22.298118591308594,36.41176986694336,0.7416258454322815,0.0029764508362859488,0.005248676985502243,0.7337806820869446,0.004895836114883423,0.009174330160021782,0.7483936548233032,0.0009488119394518435,0.001762556261382997,4.825509548187256,0.7531572580337524
15809563,2.0124101638793945,15,0,72.44258880615234,39.99452209472656,36.119598388671875,4864295936.0,6308559872.0,17260742656.0,282823884800.0,5425265.0,3.059277296066284,24.708948135375977,26.51192855834961,0.735910952091217,0.0040940819308161736,0.007878552190959454,0.7273393869400024,0.005874669179320335,0.011934930458664894,0.7488589882850647,0.000757167988922447,0.0015056561678647995,4.608338356018066,1.0908451080322266
15810373,2.0124101638793945,15,0,73.31280517578125,40.35941696166992,36.0725212097168,1529002880.0,2406567168.0,7644589056.0,152716361728.0,7231966.5,2.7522692680358887,15.767306327819824,23.886104583740234,0.7423007488250732,0.0025423183105885983,0.0046876040287315845,0.7342051267623901,0.004602599423378706,0.008802719414234161,0.7484830617904663,0.0008935245568864048,0.0016923591028898954,1.4878665208816528,1.0249130725860596
15811960,2.0124101638793945,15,0,73.09577178955078,42.3435173034668,37.24183654785156,2304626944.0,4770719744.0,20211380224.0,289387413504.0,12714909.0,2.714846134185791,21.875024795532227,38.488433837890625,0.7418466806411743,0.002831793390214443,0.005071147810667753,0.7377451062202454,0.0038489738944917917,0.007189956959336996,0.7491710186004639,0.0007307319319806993,0.0013712365180253983,3.930839776992798,0.8285396099090576
15812520,2.0124101638793945,15,1,73.02550506591797,42.18663787841797,37.18413543701172,1783841408.0,2615512832.0,3956471808.0,66595274752.0,5529670.0,2.5780792236328125,8.503531455993652,10.39442253112793,0.7397351861000061,0.0032564366701990366,0.006037074141204357,0.7307900786399841,0.00523496326059103,0.010375642217695713,0.7473980784416199,0.0011049887398257852,0.002198542235419154,1.5512751340866089,0.9506849050521851
15812786,2.0124101638793945,15,0,73.0698013305664,41.513065338134766,36.892215728759766,1721557632.0,2625734144.0,11303963648.0,169750560768.0,5430627.0,2.8082568645477295,29.392101287841797,26.401744842529297,0.7399465441703796,0.0031788796186447144,0.005906607024371624,0.7317565083503723,0.005076599773019552,0.009982161223888397,0.7499813437461853,0.0005023975973017514,0.0009722396498546004,1.576440453529358,0.9899698495864868
15814174,2.0124101638793945,15,0,7.114258766174316,69.40535736083984,90.03218078613281,42865008640.0,19025356800.0,64819294208.0,1228856754176.0,36306180.0,0.8321690559387207,52.844017028808594,49.87733840942383,0.7006834745407104,0.011294335126876831,0.023645054548978806,0.6939520239830017,0.01139313355088234,0.025846095755696297,0.746578574180603,0.0011590803042054176,0.002463723998516798,18.152223587036133,1.0207797288894653
15817616,2.0124101638793945,15,0,6.21462869644165,68.82848358154297,90.4061050415039,2112838144.0,2105923712.0,14212136960.0,237189316608.0,1808447.25,2.570324420928955,29.264711380004883,32.55101013183594,0.7386906743049622,0.003446661401540041,0.0065521905198693275,0.7281145453453064,0.005772830452769995,0.011677826754748821,0.7488501667976379,0.0007621045224368572,0.0015164390206336975,1.8732243776321411,1.0636066198349
15819301,2.0124101638793945,15,0,85.8365478515625,40.28011703491211,85.28299713134766,13226050560.0,11325961216.0,59591593984.0,1055111905280.0,32535644.0,2.5745480060577393,49.21472930908203,48.44397735595703,0.734930157661438,0.004499936476349831,0.008553292602300644,0.7325148582458496,0.004791549872606993,0.009573260322213173,0.74803227186203,0.000952430535107851,0.0018959916196763515,8.060338973999023,1.071681261062622
15823430,2.0124101638793945,15,0,79.59356689453125,88.5047836303711,5.032196998596191,26140698624.0,8563794944.0,38516518912.0,1023254003712.0,48321860.0,2.853006362915039,60.825653076171875,46.13571548461914,0.7252780199050903,0.006442786660045385,0.012831070460379124,0.7132135033607483,0.008275040425360203,0.017869573086500168,0.7446854710578918,0.0016129171708598733,0.003378442721441388,6.040264129638672,1.000028371810913
15827474,2.0124101638793945,15,0,81.04753112792969,89.77784729003906,7.035835266113281,2089268224.0,4060299008.0,16486364160.0,263356235776.0,1809883.25,2.4103057384490967,26.017654418945312,32.757713317871094,0.7399213910102844,0.003162599867209792,0.0059554376639425755,0.7355819344520569,0.004297113511711359,0.008236744441092014,0.7503624558448792,0.00041325498023070395,0.0007894037407822907,2.749152421951294,1.0133603811264038
15828174,2.0124101638793945,15,0,80.26657104492188,89.61565399169922,7.378060340881348,1305562240.0,2677942784.0,7628105216.0,206998913024.0,3615906.0,2.3665153980255127,17.818809509277344,25.68014907836914,0.7411949038505554,0.0028793253004550934,0.005291510373353958,0.7393172979354858,0.0032650139182806015,0.006262691225856543,0.747819185256958,0.0010335514089092612,0.0020062595140188932,2.1501264572143555,0.9674737453460693
15829806,2.0124101638793945,15,0,61.791954040527344,99.65169525146484,12.14039421081543,3529674752.0,6391097856.0,25481267200.0,330213294080.0,12721993.0,6.017959117889404,31.19603729248047,41.12586975097656,0.742703378200531,0.0026818339247256517,0.004667984321713448,0.7346082329750061,0.00487099215388298,0.008865988813340664,0.7491082549095154,0.0007510696304962039,0.0013887605164200068,4.402095317840576,0.7174286842346191
