GalaxyID,SnapNum,GroupID,SubGroupNumber,Stars_Mass,SF_Hydrogen,SF_Oxygen,SF_Mass,NSF_Mass,BlackHoleMass,StarFormationRate,KappaCoRot
3761420,28,28000100000973,0,3624750336.0,0.6513842940330505,0.018498027697205544,247126912.0,2593861120.0,303831.625,0.11783633381128311,0.42008374969623796
3795558,28,28000100001112,0,2603708928.0,0.6452834606170654,0.01815216988325119,113567432.0,179338368.0,490667.75,0.04032669961452484,0.43491792228508497
3835726,28,28000100001265,0,1146006144.0,0.6058509349822998,0.02616369165480137,14991848.0,94859656.0,158685.984375,0.0036783767864108086,0.17883366298467837
3884019,28,28000100001435,0,1751616512.0,0.7191303968429565,0.006937942001968622,471416928.0,6148133376.0,375772.625,0.21363197267055511,0.4394543517059835
3918803,28,28000100001567,0,1422167680.0,0.7035135626792908,0.010121766477823257,537008192.0,5065103872.0,338855.21875,0.19981339573860168,0.41964050658124896
3970479,28,28000100001770,0,1619092992.0,0.709300696849823,0.009163811802864075,879812544.0,2704736512.0,386774.46875,0.35825473070144653,0.5502320733054121
4073436,28,28000100002183,0,1132057216.0,0.6645764112472534,0.015992941334843636,168066032.0,599236096.0,305461.90625,0.07253526151180267,0.24974373228813687
4130722,28,28000100002416,0,2437964544.0,0.6923479437828064,0.01178511418402195,439391456.0,6323437568.0,226955.8125,0.1464032679796219,0.5456963027259243
4193814,28,28000100002683,0,1403432064.0,0.6354808211326599,0.020175665616989136,133092768.0,347617600.0,667491.75,0.05258888006210327,0.19261127855303498
4269631,28,28000100003005,0,1179308544.0,0.6776747107505798,0.013655487447977066,219381456.0,321440512.0,184837.921875,0.09520211815834045,0.27859054189209514
4386399,28,28000100003539,0,1772840064.0,0.673824667930603,0.012696302495896816,58434020.0,330980192.0,891955.0625,0.022946644574403763,0.24734772378444275
4662364,28,28000100004225,0,1748493440.0,0.614075243473053,0.023799603804945946,101332312.0,25096604.0,487930.40625,0.04155751317739487,0.3596557618934928
4801126,28,28000100004923,0,1000560064.0,0.6612178087234497,0.01562125887721777,46395164.0,242574880.0,313640.21875,0.015766797587275505,0.2098768464332696
5147419,28,28000100006820,0,1373448960.0,0.6923925280570984,0.011014007963240147,188094752.0,1536695168.0,420814.09375,0.06898251920938492,0.35319312473632053
13033386,28,28000000006201,0,1021923712.0,0.6771444082260132,0.013025617226958275,48141824.0,1911800192.0,1025096.0,0.014370482414960861,0.19151667943082418
13050267,28,28000000006255,0,1207419648.0,0.6981291174888611,0.01048954389989376,208152160.0,2337559040.0,879663.125,0.0993676632642746,0.2908732239334269
13066259,28,28000000006305,0,1036328832.0,0.7185170650482178,0.007340645883232355,483438880.0,7694081024.0,568653.6875,0.1956755816936493,0.22842060230854055
13081113,28,28000000006355,0,1584177152.0,0.6566635370254517,0.01663341000676155,198835136.0,1782368128.0,494103.875,0.10162699222564697,0.2989261012905148
13095033,28,28000000006399,0,1320771968.0,0.6835721135139465,0.012263230048120022,95429280.0,5277417472.0,1300069.5,0.033456940203905106,0.16486933551557345
13112002,28,28000000006454,0,2601751296.0,0.6962909698486328,0.0110594118013978,871520256.0,2389567232.0,663933.75,0.38088458776474,0.37221499473207353
13129714,28,28000000006519,0,1875262592.0,0.6349385380744934,0.019563384354114532,124730064.0,906403712.0,462007.625,0.05251524597406387,0.2837270484430481
13146424,28,28000000006579,0,1320502144.0,0.6756691932678223,0.014094885438680649,149534464.0,2662039808.0,824131.9375,0.08295223116874695,0.26976177842483284
13318632,28,28000000006636,0,1725148672.0,0.6507494449615479,0.01838134042918682,196432960.0,998969792.0,641217.125,0.10076970607042313,0.15883718216327913
13333537,28,28000000006685,0,1148319232.0,0.695631206035614,0.01122700609266758,257452944.0,2756440832.0,157503.90625,0.08051616698503494,0.40674179372864033
13353953,28,28000000006754,0,1206874368.0,0.6653321385383606,0.015703946352005005,142077280.0,1473102976.0,732669.375,0.07885747402906418,0.15970172581942957
