GalaxyID_test,Snap_Last_Merger,L_Last_Merger,Redshift
9644308,28,1.0151723623275757,0.0
9299365,28,1.0267510414123535,0.0
9076698,28,1.4932620525360107,0.0
14107960,28,1.0123721361160278,0.0
14266205,28,1.1473288536071775,0.0
20629167,28,1.0218024253845217,0.0
13677386,28,1.2728350162506104,0.0
17391092,28,1.1518534421920776,0.0
17366604,28,1.5227596759796145,0.0
8511297,28,1.022255539894104,0.0
16462660,28,1.020837426185608,0.0
10773626,28,1.0176533460617063,0.0
10092168,28,1.032665133476257,0.0
17574678,28,1210.3001708984375,0.0
9313402,28,1.014759540557861,0.0
9208681,28,1.1976944208145142,0.0
9067174,28,1.0185407400131226,0.0
9042744,28,1.0240399837493896,0.0
8986032,28,1.0201984643936155,0.0
8897326,28,1.0344438552856443,0.0
9993167,28,1.0125164985656738,0.0
9368070,28,1.4483673572540283,0.0
9239917,28,1.0592571496963499,0.0
10420476,28,1.1017016172409058,0.0
10403334,28,1.0157352685928345,0.0
9911206,28,1.1622953414916992,0.0
9636079,28,1.0124231576919556,0.0
9220512,28,1.021418809890747,0.0
10269192,28,1.0122506618499756,0.0
8764212,28,1.0218769311904907,0.0
9690755,28,1.010581374168396,0.0
17868997,28,1.0100443363189695,0.0
8347310,28,1.010661244392395,0.0
17715888,28,1.0123320817947388,0.0
17379781,28,1.0672487020492554,0.0
16750449,28,1.0109094381332395,0.0
15605780,28,1.0172017812728882,0.0
16472249,28,1.158785343170166,0.0
8477729,28,1.182772159576416,0.0
16130870,28,1.0103302001953125,0.0
16169302,28,1.033788561820984,0.0
15907325,28,1.0176514387130735,0.0
15597923,28,1.656513214111328,0.0
15328473,28,1.1013917922973633,0.0
16477548,28,1.2223443984985352,0.0
16416251,28,1.0158841609954834,0.0
8420653,28,1.0599793195724487,0.0
15667566,28,1.0524666309356692,0.0
14784533,28,1.9402037858963013,0.0
15511663,28,1.0103583335876465,0.0
14318126,28,1.3947534561157229,0.0
20695119,28,1.0421305894851685,0.0
17275741,28,1.0245342254638672,0.0
16907881,28,1.0379455089569092,0.0
9880560,28,1.0141656398773191,0.0
9822659,28,1.0140129327774048,0.0
9092693,28,1.0262811183929443,0.0
9012764,28,1.1382843255996704,0.0
8819792,28,1.2364989519119265,0.0
18131526,28,1.0178560018539429,0.0
9132632,28,1.0447615385055542,0.0
17911420,28,1.054863214492798,0.0
18431033,28,1.4354779720306396,0.0
18391952,28,1.0143964290618896,0.0
17707529,28,1.011795163154602,0.0
8643937,28,1.0130831003189087,0.0
13727899,28,1.0262364149093628,0.0
8751044,28,1.033779859542847,0.0
17765765,28,1.4385874271392822,0.0
17269209,28,1.0341348648071291,0.0
17022391,28,1.0193034410476685,0.0
17976051,28,1.011612057685852,0.0
17772976,28,1.107828974723816,0.0
15490692,28,1.0159181356430054,0.0
15295233,28,1.016571044921875,0.0
17140714,28,1.140077829360962,0.0
8475282,28,1.0296229124069214,0.0
2442014,28,1.0146026611328125,0.0
16373727,28,1.0142937898635864,0.0
16996937,28,1.0142968893051147,0.0
8553318,28,1.015469312667847,0.0
16928821,28,1.0148944854736328,0.0
8745474,28,1.0301352739334106,0.0
8727293,28,1.018208622932434,0.0
13914718,28,1.5716999769210815,0.0
9958488,28,1.0155394077301023,0.0
9998415,28,1.013241171836853,0.0
9397255,28,1.0266857147216797,0.0
8460063,28,1.2799520492553709,0.0
15313860,28,1.0846468210220337,0.0
9833053,28,1.4375380277633667,0.0
9638853,28,1.9052704572677608,0.0
9612642,28,1.0136178731918335,0.0
9094126,28,1.0241113901138306,0.0
15518506,28,1.076417326927185,0.0
8864595,28,1.059199571609497,0.0
8853143,28,1.0119643211364746,0.0
8739448,28,1.045180082321167,0.0
18312497,28,1.014769434928894,0.0
18051511,28,1.0250121355056765,0.0
9913396,28,1.0191303491592407,0.0
9665096,28,1.0305445194244385,0.0
9848105,28,1.0120762586593628,0.0
17234207,28,1.1497089862823486,0.0
9329031,28,1.0964596271514893,0.0
9177950,28,1.4697515964508057,0.0
9162873,28,1.3947572708129885,0.0
8870453,28,1.0132595300674438,0.0
8517165,28,1.032436728477478,0.0
8563942,28,1.1547752618789673,0.0
8388372,28,1.0612829923629759,0.0
15809550,28,1.0184509754180908,0.0
8350685,28,1.0205639600753784,0.0
18163851,28,1.022084355354309,0.0
8858657,28,1.207435131072998,0.0
9227009,28,1.6833339929580688,0.0
18018076,28,1.02425217628479,0.0
8648067,28,1.0121233463287354,0.0
8646377,28,1.0198788642883299,0.0
10950179,28,1.3773069381713867,0.0
10463417,28,1.0207042694091797,0.0
14837488,28,1.0141741037368774,0.0
14545424,28,1.0748755931854248,0.0
14175622,28,1.3875467777252195,0.0
8549262,28,1.0301862955093384,0.0
16699987,28,1.0250734090805054,0.0
12724543,28,1.0133379697799685,0.0
10046237,28,1.022370457649231,0.0
9896726,28,1.0252155065536501,0.0
10343837,28,1.0140095949172974,0.0
14883340,28,1.0380415916442869,0.0
8943297,28,1.0219738483428955,0.0
8772511,28,1.011371374130249,0.0
18308116,28,1.4026399850845337,0.0
9668253,28,1.0131449699401855,0.0
14132544,28,1.0912678241729736,0.0
8894368,28,1.013187050819397,0.0
8776659,28,1.0254113674163818,0.0
18367233,28,1.9949082136154173,0.0
18330735,28,1.0144048929214478,0.0
9542932,28,1.1913654804229736,0.0
9550845,28,1.0453789234161377,0.0
17788553,28,1.0257848501205444,0.0
16802829,28,1.537605881690979,0.0
9143370,28,1.0725259780883791,0.0
17217406,28,1.07875657081604,0.0
15703380,28,1.0101178884506226,0.0
15705955,28,1.63838529586792,0.0
10129998,28,1.0179013013839722,0.0
10854354,28,1.031574845314026,0.0
16024914,28,1.0218497514724731,0.0
9633337,28,1.0409988164901731,0.0
9308021,28,1.021896243095398,0.0
9161415,28,1.0137211084365845,0.0
9044112,28,1.0342938899993896,0.0
14582104,28,1.0188115835189822,0.0
8734901,28,1.0200129747390747,0.0
8708413,28,1.0198768377304075,0.0
18271268,28,1.0256892442703247,0.0
17974615,28,2.583995819091797,0.0
17418547,28,1.373709201812744,0.0
17320704,28,1.0339581966400146,0.0
18253968,28,1.0514851808547974,0.0
9248509,28,1.0907059907913208,0.0
9166019,28,1.1096305847167969,0.0
9002083,28,1.0114078521728516,0.0
10627693,28,1.067372441291809,0.0
8902165,28,1.453510880470276,0.0
8813148,28,1.021322250366211,0.0
8760225,28,1.0206679105758667,0.0
18301924,28,1.0159888267517092,0.0
16649034,28,1.0106295347213743,0.0
8395233,28,1.0114609003067017,0.0
18096815,28,1.0196341276168823,0.0
8562465,28,1.0188496112823486,0.0
8889415,28,1.0418885946273804,0.0
16210120,28,1.0104601383209229,0.0
18405938,28,1.186168551445007,0.0
14436222,28,1.011496901512146,0.0
16601615,28,1.0157166719436646,0.0
15569344,28,1.2868379354476929,0.0
14227199,28,1.1388657093048096,0.0
9702110,28,1.0150780677795408,0.0
9614141,28,1.0135327577590942,0.0
9810932,28,1.108728289604187,0.0
13938864,28,1.0533448457717896,0.0
8676992,28,1.0195050239562988,0.0
8675491,28,1.0551227331161501,0.0
18181888,28,1.0200223922729492,0.0
18174421,28,1.0109432935714722,0.0
21242350,28,1.0261324644088743,0.0
18056321,28,1.0102428197860718,0.0
17889273,28,1.0781015157699585,0.0
19182761,28,1.1055938005447388,0.0
19784479,28,1.1427505016326904,0.0
10766285,28,1.0204401016235352,0.0
10570405,28,1.010001540184021,0.0
10412988,28,1.0144186019897459,0.0
9950340,28,1.2764883041381836,0.0
9295168,28,1.0101842880249023,0.0
9100586,28,1.0216732025146484,0.0
9123036,28,1.0404257774353027,0.0
9727663,28,1.0102503299713137,0.0
2754913,28,1.0438876152038574,0.0
8561074,28,1.447407841682434,0.0
17335180,28,1.012637495994568,0.0
16935095,28,1.0108883380889893,0.0
16281214,28,1.51040780544281,0.0
12165826,28,1.0107976198196411,0.0
15410273,28,1.320075511932373,0.0
10227192,28,1.2014399766921997,0.0
10162089,28,1.0212712287902832,0.0
11946354,28,1.0149856805801392,0.0
17856113,28,1.0388683080673218,0.0
17668706,28,1.0161105394363403,0.0
19701409,28,1.197980880737305,0.0
10005161,28,1.0183854103088381,0.0
17094054,28,1.683521747589111,0.0
16895358,28,1.0202276706695557,0.0
10117048,28,1.0283244848251345,0.0
8595936,28,1.0458557605743408,0.0
8594638,28,1.3345540761947632,0.0
15056752,28,1.0104117393493652,0.0
17185904,28,1.0160061120986938,0.0
16921468,28,1.033441185951233,0.0
16891180,28,1.0118426084518433,0.0
15091774,28,1.100677490234375,0.0
21730535,28,1.0501543283462524,0.0
17136101,28,4.035904407501222,0.0
16588425,28,1.39931058883667,0.0
16191774,28,1.7658283710479736,0.0
16413979,28,1.010470986366272,0.0
16491888,28,1.1950149536132812,0.0
8691365,28,1.0193772315979004,0.0
17500195,28,1.0195823907852173,0.0
17480553,28,1.1388466358184814,0.0
17467743,28,1.1372398138046265,0.0
17662153,28,1.0152722597122192,0.0
16161679,28,1.5517209768295288,0.0
10270262,28,1.1265883445739746,0.0
15882040,28,1.0102486610412598,0.0
2289703,28,1.034840106964111,0.0
1763816,28,1.035078048706055,0.0
14757929,28,1.0113221406936646,0.0
13681351,28,1.0102065801620483,0.0
9609022,28,1.0502815246582031,0.0
9425387,28,1.0217387676239014,0.0
9411959,28,1.025321364402771,0.0
9224715,28,1.0126365423202517,0.0
10226251,28,1.0125006437301636,0.0
