GalaxyID_test,Snap_Last_Major_Merger,L_Last_Major_Merger,Redshift
15705955,28,1.63838529586792,0.0
16281214,28,1.51040780544281,0.0
8963514,28,1.306153416633606,0.0
18367233,28,1.9949082136154173,0.0
10857865,28,1.315799117088318,0.0
17574678,28,1210.3001708984375,0.0
8594638,28,1.3345540761947632,0.0
14784533,28,1.9402037858963013,0.0
15501297,28,1.3144880533218384,0.0
17937667,28,1.3736990690231323,0.0
10803440,28,1.495100021362305,0.0
16185808,28,1.7737349271774292,0.0
14861045,28,1.313726544380188,0.0
18961506,28,1.2938764095306396,0.0
14318126,28,1.3947534561157229,0.0
19891777,28,1.279348373413086,0.0
17171463,28,2.0462605953216557,0.0
9227009,28,1.6833339929580688,0.0
9076698,28,1.4932620525360107,0.0
9893299,28,1.2744265794754028,0.0
13677386,28,1.2728350162506104,0.0
17001551,28,1.494839429855347,0.0
15597923,28,1.656513214111328,0.0
17136101,28,4.035904407501222,0.0
9617290,28,1.870628237724304,0.0
14175622,28,1.3875467777252195,0.0
15569344,28,1.2868379354476929,0.0
16229685,28,1.8021986484527588,0.0
18308116,28,1.4026399850845337,0.0
8900328,28,1.3112635612487793,0.0
13866051,28,1.2593246698379517,0.0
20742138,28,1.3386391401290894,0.0
16911816,28,1.2791224718093872,0.0
14418320,28,1.388003706932068,0.0
11402531,28,1.4809157848358154,0.0
9950340,28,1.2764883041381836,0.0
17461240,28,1.647254467010498,0.0
10950179,28,1.3773069381713867,0.0
18112848,28,1.3097143173217771,0.0
15528597,28,1.4349753856658936,0.0
16802829,28,1.537605881690979,0.0
8902165,28,1.453510880470276,0.0
17418547,28,1.373709201812744,0.0
16191774,28,1.7658283710479736,0.0
16588425,28,1.39931058883667,0.0
17974615,28,2.583995819091797,0.0
16161679,28,1.5517209768295288,0.0
14395655,28,1.2654889822006226,0.0
17094054,28,1.683521747589111,0.0
13914718,28,1.5716999769210815,0.0
17304600,28,1.836064696311951,0.0
16761384,28,1.2501437664031982,0.0
15909288,28,1.439476490020752,0.0
17765765,28,1.4385874271392822,0.0
9177950,28,1.4697515964508057,0.0
8230966,28,14.521581649780273,0.0
9162873,28,1.3947572708129885,0.0
16173789,28,1.5003973245620728,0.0
11535135,28,1.3199306726455688,0.0
18431033,28,1.4354779720306396,0.0
14459773,28,1.3495792150497437,0.0
8809751,28,1.3423377275466921,0.0
