GalaxyID_test,Snap_Last_Minor_Merger,L_Last_Minor_Merger,Redshift_Minor
9162873,28,1.3947572708129885,0.0
15846479,28,1.1179755926132202,0.0
9166019,28,1.1096305847167969,0.0
8902165,28,1.453510880470276,0.0
15705955,28,1.63838529586792,0.0
16802829,28,1.537605881690979,0.0
15328473,28,1.1013917922973633,0.0
10950179,28,1.3773069381713867,0.0
16491888,28,1.1950149536132812,0.0
14175622,28,1.3875467777252195,0.0
14418320,28,1.388003706932068,0.0
15597923,28,1.656513214111328,0.0
8477729,28,1.182772159576416,0.0
16882280,28,1.1372376680374146,0.0
16472249,28,1.158785343170166,0.0
8500518,28,1.2034833431243896,0.0
8858657,28,1.207435131072998,0.0
9950340,28,1.2764883041381836,0.0
8725617,28,1.1622118949890137,0.0
17480553,28,1.1388466358184814,0.0
17418547,28,1.373709201812744,0.0
16229685,28,1.8021986484527588,0.0
11402531,28,1.4809157848358154,0.0
17391092,28,1.1518534421920776,0.0
8460063,28,1.2799520492553709,0.0
8963514,28,1.306153416633606,0.0
18112848,28,1.3097143173217771,0.0
13677386,28,1.2728350162506104,0.0
14266205,28,1.1473288536071775,0.0
16161679,28,1.5517209768295288,0.0
15823417,28,1.3836208581924438,0.0
16477548,28,1.2223443984985352,0.0
8563942,28,1.1547752618789673,0.0
14318126,28,1.3947534561157229,0.0
13221592,28,1.2206875085830688,0.0
14784533,28,1.9402037858963013,0.0
17467743,28,1.1372398138046265,0.0
16911816,28,1.2791224718093872,0.0
17974615,28,2.583995819091797,0.0
19784479,28,1.1427505016326904,0.0
19182761,28,1.1055938005447388,0.0
17366604,28,1.5227596759796145,0.0
14861045,28,1.313726544380188,0.0
10227192,28,1.2014399766921997,0.0
16543297,28,1.1084392070770264,0.0
9810932,28,1.108728289604187,0.0
14766123,28,1.897417902946472,0.0
16030139,28,1.5429565906524658,0.0
19891777,28,1.279348373413086,0.0
17094054,28,1.683521747589111,0.0
8402936,28,1.20419180393219,0.0
14227199,28,1.1388657093048096,0.0
15569344,28,1.2868379354476929,0.0
8594638,28,1.3345540761947632,0.0
16185808,28,1.7737349271774292,0.0
11044017,28,1.111710786819458,0.0
14395655,28,1.2654889822006226,0.0
10857865,28,1.315799117088318,0.0
15091774,28,1.100677490234375,0.0
13866051,28,1.2593246698379517,0.0
15410273,28,1.320075511932373,0.0
15187264,28,1.1497788429260254,0.0
9081991,28,1.310557842254639,0.0
17845683,28,1.1876635551452637,0.0
15430411,28,1.5777757167816162,0.0
10803440,28,1.495100021362305,0.0
18308116,28,1.4026399850845337,0.0
19575152,28,1.1964428424835205,0.0
18250541,28,1.7245672941207886,0.0
18367233,28,1.9949082136154173,0.0
9542932,28,1.1913654804229736,0.0
8692369,28,1.728102445602417,0.0
16281214,28,1.51040780544281,0.0
19701409,28,1.197980880737305,0.0
14120120,28,1.3537030220031738,0.0
9691855,28,1.4115183353424072,0.0
8561074,28,1.447407841682434,0.0
18167601,28,1.4846435785293581,0.0
17304600,28,1.836064696311951,0.0
13914718,28,1.5716999769210815,0.0
15501297,28,1.3144880533218384,0.0
9076698,28,1.4932620525360107,0.0
17140714,28,1.140077829360962,0.0
8230966,28,14.521581649780273,0.0
8664336,28,1.1198008060455322,0.0
9833053,28,1.4375380277633667,0.0
17765765,28,1.4385874271392822,0.0
17559547,28,1.1424930095672607,0.0
