GalaxyID,GroupID,LastProgID,TopLeafID,DescendantID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen,Redshift,StarFormationRate,Stars_Metallicity,SF_Mass,BlackHoleMass,MassType_DM,SF_Metallicity,Vmax,sz_GalaxyID,R_halfmass30,R_halfmass100,mor_GalaxyID,KappaCoRot,fof_GroupID,GroupCentreOfPotential_x,GroupCentreOfPotential_y,GroupCentreOfPotential_z,Group_M_Crit200,Group_R_Crit200,NumOfSubhalos
12157780,28000000000025,12158542,12157806,12157780,28,15442214912.0,0.6312047839164734,0.021545058116316795,2.220446049250313e-16,0.6078835725784302,0.02061910554766655,1543363840.0,1134465.375,249463226368.0,0.05384492501616478,139.98031616210938,12157780,5.456340888058534,5.587801698936325,12157780,0.6351928379064941,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
12155759,28000000000025,12156650,12155785,12155759,28,10730507264.0,0.6661678552627563,0.016104867681860924,2.220446049250313e-16,0.8690623641014099,0.018350934609770775,1356251136.0,1568873.5,368198483968.0,0.03815873712301254,132.98397827148438,12155759,3.3149023015289836,3.9274193736727474,12155759,0.22048915910770714,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
6659446,28000000000025,6674156,6659472,6659446,28,11542506496.0,0.6766071319580078,0.015338337048888206,2.220446049250313e-16,0.19183319807052612,0.023368673399090767,376285376.0,308249600.0,7503966208.0,0.034931398928165436,106.56884765625,6659446,3.658728936069101,3.658728936069101,6659446,0.24316071487778007,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
12156651,28000000000025,12157779,12156678,12156651,28,23146985472.0,0.5706319212913513,0.02933182567358017,2.220446049250313e-16,0.0824100449681282,0.023336224257946014,200256896.0,8523267.0,268969672704.0,0.07976432144641876,177.80322265625,12156651,4.100665423811027,4.222882130621473,12156651,0.4322386452697713,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
6656922,28000000000025,6658509,6656949,6656922,28,10088712192.0,0.0,0.0,2.220446049250313e-16,0.0,0.01049460656940937,0.0,67182216.0,96640221184.0,0.0,157.05950927734375,6656922,2.5431099242295456,2.5431099242295456,6656922,0.2165316736119894,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
16828343,28000000000025,16832143,16828370,16828343,28,59446071296.0,0.0,0.0,2.220446049250313e-16,0.0,0.017098067328333855,0.0,135553984.0,1869350305792.0,0.0,247.004638671875,16828343,4.671109347103304,6.030573939931827,16828343,0.22398397019016178,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
12154474,28000000000025,12155758,12154500,12154474,28,31567894528.0,0.6656588315963745,0.01578114926815033,2.220446049250313e-16,1.7759795188903809,0.024818308651447296,4551276032.0,10175905.0,625747361792.0,0.03857807070016861,183.7390899658203,12154474,4.066911896580779,4.251362816831189,12154474,0.6204545084044268,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
18737995,28000000000025,18758769,18738021,18737995,28,414119755776.0,0.7085424065589905,0.009242430329322815,2.220446049250313e-16,1.6313310861587524,0.017624707892537117,3622175488.0,520143424.0,41446207913984.0,0.020249512046575546,513.831787109375,18737995,10.918571481672096,24.238125457043935,18737995,0.2657951298819782,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
6650953,28000000000025,6656921,6650979,6650953,28,27265302528.0,0.0,0.0,2.220446049250313e-16,0.0,0.023917242884635925,0.0,146836384.0,40641630208.0,0.0,170.8480682373047,6650953,3.4849849888144377,3.4849849888144377,6650953,0.17336516920176795,28000000000025,81.3879623413086,8.587142944335938,68.34233093261719,42420091748352.0,735.0964965820312,1811
153308,28000000000058,153976,153335,153308,28,12486536192.0,0.529019832611084,0.03711526095867157,2.220446049250313e-16,0.06406889855861664,0.023464052006602287,67128432.0,1263457.625,47079145472.0,0.09778903424739838,123.23237609863281,153308,5.072065829515668,5.079455729784532,153308,0.4954001049160802,28000000000058,77.81330108642578,50.216575622558594,59.63520050048828,26733432537088.0,630.2305908203125,943
17596949,28000000000058,17603611,17596975,17596949,28,121116164096.0,0.6904628872871399,0.00992261990904808,2.220446049250313e-16,0.052483148872852325,0.016968009993433952,38655320.0,240363424.0,2672972791808.0,0.02496914565563202,305.066162109375,17596949,7.708404356924251,10.612288808425062,17596949,0.141661797690107,28000000000058,77.81330108642578,50.216575622558594,59.63520050048828,26733432537088.0,630.2305908203125,943
13159257,28000000000058,13160765,13159283,13159257,28,27781208064.0,0.0,0.0,2.220446049250313e-16,0.0,0.019831238314509392,0.0,35307116.0,358164103168.0,0.0,191.63352966308594,13159257,4.919284653084926,5.047125030059425,13159257,0.5531044170721844,28000000000058,77.81330108642578,50.216575622558594,59.63520050048828,26733432537088.0,630.2305908203125,943
19556663,28000000000058,19575151,19556690,19556663,28,245460058112.0,0.6289992928504944,0.02207162417471409,2.220446049250313e-16,4.723567962646484,0.020217958837747574,6317123584.0,79569016.0,21460487766016.0,0.05416253209114075,418.8706359863281,19556663,6.158952649423906,8.546830307297085,19556663,0.42738957998154403,28000000000058,77.81330108642578,50.216575622558594,59.63520050048828,26733432537088.0,630.2305908203125,943
