GalaxyID,GroupID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ApertureSize,Mass_Star,SFR_30pkpc,Group_R_Crit200,Group_M_Crit200
9670966,28000000001559,28,2.220446049250313e-16,0,34.18622589111328,45.07310104370117,31.350996017456055,20499109888.0,1262792704.0,23548059648.0,977367334912.0,16582008.0,5.719269275665283,161.62350463867188,101.63760375976562,0.7019611597061157,0.010019274428486824,0.022841032594442368,0.6308204531669617,0.02100342884659767,0.05334707349538803,0.7448202967643738,0.001383317867293954,0.0032552958000451326,0.5185940861701965,7.894092559814453,30,20006754304.0,0.5185940861701965,204.7207489013672,916283064320.0
9714039,28000000001593,28,2.220446049250313e-16,0,14.854026794433594,60.558589935302734,64.30876159667969,14108107776.0,15673480.0,27285354496.0,997591220224.0,45082792.0,3.0629801750183105,157.27359008789062,87.20194244384766,0.7175565958023071,0.007623719982802868,0.016117487102746964,0.7024667263031006,0.008942830376327038,0.02173253521323204,0.7501187324523926,0.00038411447894759476,0.000864409317728132,0.026044823229312897,10.046160697937012,30,13520517120.0,0.026044823229312897,205.5327606201172,927225085952.0
9775886,28000000001643,28,2.220446049250313e-16,0,20.318458557128906,37.71546173095703,4.266159534454346,13746611200.0,2550053632.0,25584580608.0,708863000576.0,10981912.0,4.171477317810059,158.723876953125,81.76861572265625,0.708604633808136,0.008726628497242928,0.019877413287758827,0.6895617842674255,0.01206772681325674,0.028239555656909943,0.7493516802787781,0.0005351618165150285,0.0012168484972789884,1.1446577310562134,7.803125858306885,30,13382906880.0,1.1439520120620728,180.6332244873047,629382578176.0
9796767,28000000001661,28,2.220446049250313e-16,0,36.37152862548828,22.34750747680664,48.90999221801758,14137357312.0,2570317312.0,30288488448.0,867318824960.0,19963766.0,5.587508678436279,141.74697875976562,86.39961242675781,0.7113897204399109,0.0084452535957098,0.018797239288687706,0.6722692251205444,0.015094262547791004,0.03575068712234497,0.7472272515296936,0.0009776089573279023,0.0022135027684271336,1.0994627475738525,6.322948455810547,30,13175812096.0,1.0994627475738525,199.42120361328125,846986543104.0
9803024,28000000001666,28,2.220446049250313e-16,0,21.456153869628906,78.44161987304688,47.034339904785156,13178491904.0,3257339648.0,32387213312.0,779142365184.0,21764660.0,4.562197685241699,68.00597381591797,83.21946716308594,0.7104405164718628,0.008534046821296215,0.019181229174137115,0.6987045407295227,0.010752344503998756,0.02467731013894081,0.7454636096954346,0.0014028155710548162,0.003070712322369218,1.182054877281189,6.786942005157471,30,12224655360.0,0.9603129029273987,193.39248657226562,772390453248.0
9826619,28000000001684,28,2.220446049250313e-16,0,61.92495346069336,54.09614562988281,95.43840026855469,7303748096.0,840776512.0,29035905024.0,655433596928.0,7268129.5,3.7119672298431396,156.72740173339844,106.03107452392578,0.7130655646324158,0.00807610247284174,0.017975350841879845,0.6886606812477112,0.012243889272212982,0.029011139646172523,0.7479228973388672,0.0008173045935109258,0.0018744576955214143,0.2769020199775696,6.931947708129883,30,7125582848.0,0.2769020199775696,180.4350128173828,627341787136.0
9841784,28000000001697,28,2.220446049250313e-16,0,8.981812477111816,7.137999534606934,93.42606353759766,6140918272.0,198888848.0,22294661120.0,600540250112.0,9810788.0,3.4688236713409424,188.8893585205078,104.95330047607422,0.7116496562957764,0.008166375569999218,0.01847795583307743,0.6850197315216064,0.011393054388463497,0.029886135831475258,0.7483720183372498,0.0007108367863111198,0.0016543633537366986,0.0755879282951355,8.065823554992676,30,5896094208.0,0.0755879282951355,162.82144165039062,460949979136.0
9884210,28000000001734,28,2.220446049250313e-16,0,80.20159912109375,87.42990112304688,84.59654235839844,11532778496.0,3534447616.0,41203970048.0,799133597696.0,9303799.0,4.2817063331604,103.01792907714844,81.4867172241211,0.7095820903778076,0.008658274076879025,0.019514193758368492,0.6955922842025757,0.010884401388466358,0.025715120136737823,0.7484500408172607,0.000747963844332844,0.0016498317709192634,1.3146559000015259,6.520926475524902,30,11301698560.0,1.2445181608200073,195.1307830810547,793505759232.0
9898515,28000000001747,28,2.220446049250313e-16,0,13.54139232635498,95.42510223388672,60.236141204833984,9120370688.0,2211459072.0,20486731776.0,783660285952.0,12692533.0,7.055180549621582,125.03731536865234,102.18814849853516,0.711743950843811,0.008265882730484009,0.018550438806414604,0.6854131817817688,0.012510017491877079,0.029997503384947777,0.7468847036361694,0.0010238231625407934,0.0023487084545195103,0.8235346078872681,7.802767753601074,30,8731851776.0,0.8235346078872681,202.7398223876953,889907118080.0
21109760,28000000000000,28,2.220446049250313e-16,0,17.108518600463867,79.76776885986328,52.71782684326172,1235139559424.0,15275311104.0,31939557851136.0,179181992280064.0,13545626624.0,76.87278747558594,668.8917236328125,629.3724365234375,0.7202402353286743,0.007393029984086752,0.015112758614122868,0.697403073310852,0.01200211513787508,0.025859545916318893,0.7453194856643677,0.001336221001110971,0.0030374606139957905,10.12625503540039,10.241509437561035,30,419670130688.0,3.514611005783081,1205.5224609375,187096425824256.0
19446998,28000000000051,28,2.220446049250313e-16,0,85.0827407836914,47.5506477355957,22.860122680664062,163045703680.0,2069655296.0,3868542107648.0,26293955461120.0,960048064.0,28.162382125854492,402.3903503417969,355.23291015625,0.7235963940620422,0.0065972632728517056,0.013583224266767502,0.7082303166389465,0.009522690437734127,0.02064943127334118,0.745728075504303,0.001271702814847231,0.0028777853585779667,0.8377432823181152,8.673473358154297,30,82883346432.0,0.05247864872217178,676.00634765625,32986821033984.0
20487146,28000000000102,28,2.220446049250313e-16,0,79.24224090576172,75.42991638183594,19.223073959350586,160681426944.0,2215983616.0,1842474123264.0,16920113840128.0,1349479808.0,16.494131088256836,381.7303161621094,236.9496307373047,0.7204279899597168,0.007292702328413725,0.014951628632843494,0.715778648853302,0.008058398962020874,0.017182156443595886,0.7472218871116638,0.0009610401466488838,0.00218356866389513,1.1034115552902222,10.866387367248535,30,96956497920.0,1.0002422332763672,543.8273315429688,17176282005504.0
