GalaxyID,NSF_Mass,KappaCoRot,SubHaloGalaxyID
17611282,281438950000.0,0.286566871921919,17611282
17611281,288909700000.0,0.18174662108949521,17611281
19927854,143720970000.0,0.23272907419006061,19927854
19927853,169948230000.0,0.3356072772310845,19927853
19927843,967153000000.0,0.26722202410352774,19927843
19927842,1293426400000.0,0.24425311401104746,19927842
13266450,126777460000.0,0.34956819796609484,13266450
13266449,124579660000.0,0.12589404266744653,13266449
13266446,382581100000.0,0.21811984472180324,13266446
13266445,445690450000.0,0.3189434672326612,13266445
13274335,23942885000.0,0.22592549783950985,13274335
13274335,23942885000.0,0.22592549783950985,13274335
13274334,29295755000.0,0.2806875370539041,13274334
13274332,34887670000.0,0.20450290652755107,13274332
13274331,33389212000.0,0.27772447246796916,13274331
20058983,74131350000.0,0.5390795959563893,20058983
20058982,78945250000.0,0.1891425699228766,20058982
20058974,399358070000.0,0.3956453714099884,20058974
20058973,435938530000.0,0.3476700166534067,20058973
20324233,115158220000.0,0.2183551896901263,20324233
20324232,144551900000.0,0.18690527916822008,20324232
20324232,144551900000.0,0.18690527916822008,20324232
20324231,151795840000.0,0.2355702780284508,20324231
20324224,1031349340000.0,0.34224103963838104,20324224
20324223,990468800000.0,0.1903353482168349,20324223
20374382,232199570.0,0.554655213777374,20374382
20374381,399075770000.0,0.19844622100468215,20374381
14895234,71184340000.0,0.29679611603328077,14895234
14895233,115528140000.0,0.3373436787335532,14895233
14895226,968868760000.0,0.595656416689844,14895226
14895225,1190207700000.0,0.36810362581339556,14895225
14910196,78162760000.0,0.4679467370418304,14910196
14910195,83823040000.0,0.17043729766469753,14910195
14916095,242037180000.0,0.27696534941313344,14916095
14916094,466252530000.0,0.4916375787585979,14916094
14916085,3727274300000.0,0.4684529797630066,14916085
14916084,3740223000000.0,0.390151680041799,14916084
10670182,6462066000.0,0.18253162906371387,10670182
10670181,8078120000.0,0.3384480925350845,10670181
10670179,22933092000.0,0.21009316290705043,10670179
10670178,24441635000.0,0.18696256137288106,10670178
10670178,24441635000.0,0.18696256137288106,10670178
10670177,20065300000.0,0.23403677057783193,10670177
21924788,324334850.0,0.6592370362813017,21924788
21924787,819515560000.0,0.3696570088385421,21924787
21924785,1391529300000.0,0.3518056364170713,21924785
21924784,1698733400000.0,0.17600842195392924,21924784
10664760,28820867000.0,0.25908843381842234,10664760
10664759,27552162000.0,0.2177387771109239,10664759
10668220,5386962400.0,0.5540731807064124,10668220
10668219,5717816000.0,0.5147709851335468,10668219
10668217,8458081000.0,0.29925084321413287,10668217
10668216,12764891000.0,0.1563353320317307,10668216
10668213,23362540000.0,0.2519456392006881,10668213
10668212,18099472000.0,0.30498151177652166,10668212
14978131,145568760000.0,0.306035866183054,14978131
14978130,343715870.0,0.3041431131223752,14978130
14978130,343715870.0,0.3041431131223752,14978130
14978129,162844020000.0,0.33599021687247366,14978129
14978125,1489021000000.0,0.5212138575664108,14978125
14978124,1555898700000.0,0.4407205192953517,14978124
15673390,52507144000.0,0.18934325519005676,15673390
15673389,541821400.0,0.2212975621928128,15673389
15673389,541821400.0,0.2212975621928128,15673389
15673388,82650310000.0,0.1769424525037376,15673388
15673384,608062000000.0,0.2049057625298386,15673384
15673383,876663140000.0,0.18553303806453972,15673383
15691074,133897126000.0,0.4974109169747349,15691074
15691073,264479770000.0,0.1734640454332335,15691073
15691069,651554850000.0,0.19465542605137456,15691069
15691068,1006373240000.0,0.19599272684936583,15691068
15700121,68596085000.0,0.4770397436858694,15700121
15700120,48658000000.0,0.3692901502352596,15700120
15705969,43829174000.0,0.2576975756800818,15705969
15705968,53391282000.0,0.37749052073783285,15705968
15705956,205436650000.0,0.6433823436111825,15705956
15705955,16295015000.0,0.44106703712524925,15705955
10657116,10441250000.0,0.24188867675776451,10657116
