GalaxyID_snap28,GalaxyID,Lm_max,GroupID,SubGroupNumber,LastProgID,TopLeafID,DescendantID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen,Redshift,StarFormationRate,Stars_Metallicity,SF_Mass,NSF_Mass,BlackHoleMass,MassType_DM,SF_Metallicity,Vmax,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,HalfMassRad_Star,sSFR,SF_logOH,tiempo
10348673,10348688,1.162696361541748,13000200000428,0,10348889,10348699,10348687,13,1219349900.0,0.743614,0.0024159336,2.4784133,3.2131164,0.003401724,4304912000.0,16741352000.0,484298.44,212069430000.0,0.0042238003,145.80067,3.421701,50.928143,43.848335,4.4072266,2.6351061e-09,8.307618,2.6525817
10806033,10806045,1.3944566249847412,16000000009039,0,10806231,10806058,10806044,16,346564640.0,0.73941135,0.0035271887,1.7369658,0.21726264,0.0028248793,482671680.0,8574201000.0,151497.36,101924020000.0,0.0062146937,97.39991,48.73239,65.77036,57.683098,4.5920796,6.2690364e-10,8.474423,3.7668543
10806033,10806044,1.3944566249847412,17000000004240,0,10806301,10806058,10806043,17,695979800.0,0.7355285,0.0042496724,1.4867073,0.67852384,0.003977798,1336653800.0,14984638000.0,312071.97,118279560000.0,0.008030694,101.710014,48.763588,65.72318,57.576797,4.0838633,9.749189e-10,8.557636,4.325295
10326234,10326246,1.5529577732086182,16000000003920,0,10326486,10326260,10326245,16,988457660.0,0.74085677,0.002819934,1.7369658,1.2876344,0.004005567,1867724800.0,14383240000.0,423661.2,280148050000.0,0.005390138,127.789314,1.3874342,52.746338,60.164776,3.8411334,1.3026702e-09,8.376385,3.7668543
10326234,10326245,1.5529577732086182,17000000003148,0,10326710,10326260,10326244,17,2260297700.0,0.7312231,0.0052846833,1.4867073,1.9902527,0.005663649,3178352400.0,17074883000.0,807105.1,309970000000.0,0.01033801,130.41512,1.3290641,52.807415,60.066013,3.4582253,8.805268e-10,8.654849,4.325295
10352660,10352675,1.1408874988555908,13000600000661,0,10352785,10352686,10352674,13,304978850.0,0.7433564,0.002651883,2.4784133,0.3985827,0.002389077,772354800.0,5056571000.0,147769.19,96698390000.0,0.0044077295,109.32381,93.68458,90.175156,11.274748,3.042902,1.3069191e-09,8.348237,2.6525817
10352660,10352674,1.1408874988555908,14000000008796,0,10352833,10352686,10352673,14,474286400.0,0.742968,0.0024880972,2.237037,0.59331065,0.002746734,1103176000.0,5465735700.0,296328.8,111745100000.0,0.0043668635,108.35017,93.49895,90.10882,11.439842,3.1247663,1.2509543e-09,8.320777,2.948652
10352660,10352669,1.474599838256836,19000500000204,0,10352974,10352686,10352668,19,2177362200.0,0.7066764,0.009521894,1.0041217,0.83662003,0.009372477,1461616500.0,14809188000.0,300423.28,364165330000.0,0.021089803,122.52055,92.16249,89.56274,13.184887,3.028526,3.842356e-10,8.925384,5.8637867
10352660,10352668,1.474599838256836,20000000002844,0,10353125,10352686,10352667,20,4068978000.0,0.7110033,0.008828281,0.86505055,1.9526511,0.010750774,3042507500.0,17406419000.0,607658.6,473603000000.0,0.01922575,148.50778,91.930626,89.48546,13.487229,4.8154006,4.7988735e-10,8.889885,6.471967
10352660,10352668,1.333759069442749,20000000002844,0,10353125,10352686,10352667,20,4068978000.0,0.7110033,0.008828281,0.86505055,1.9526511,0.010750774,3042507500.0,17406419000.0,607658.6,473603000000.0,0.01922575,148.50778,91.930626,89.48546,13.487229,4.8154006,4.7988735e-10,8.889885,6.471967
10352660,10352667,1.333759069442749,21000000002555,0,10353466,10352686,10352666,21,6691686400.0,0.70738894,0.009444415,0.7356296,2.7989104,0.012120294,3702180600.0,19583517000.0,772726.06,557135560000.0,0.02074594,149.61392,91.59821,89.43919,13.766283,4.653893,4.182668e-10,8.921397,7.1307774
