GalaxyID_snap28,GroupID,GroupCentreOfPotential_x,GroupCentreOfPotential_y,GroupCentreOfPotential_z,Group_M_Crit200,Group_R_Crit200,NumOfSubhalos
9508202,15000000000440,3.8422904014587402,36.53348922729492,61.997928619384766,1266067701760.0,109.27790832519531,104
9508202,16000000000380,3.8526484966278076,36.406124114990234,61.648468017578125,1455998631936.0,124.95796966552734,124
9508202,18000000000420,4.13430118560791,36.26424026489258,60.9333610534668,2692605280256.0,181.2589569091797,126
9508202,19000100000014,4.366421699523926,36.04677963256836,60.46885681152344,2490603405312.0,194.6116943359375,107
9512113,11000000000613,9.827008247375488,34.3682975769043,40.4134521484375,606550687744.0,57.945743560791016,27
9512113,12000000000675,9.747488021850586,34.421451568603516,40.9864616394043,695064788992.0,68.12451934814453,25
9512113,23000000000303,8.557703971862793,35.433773040771484,48.07754898071289,4901731041280.0,297.9411926269531,203
9512113,24000000000304,8.384529113769531,35.4443359375,49.20173263549805,4733879189504.0,310.9046936035156,186
9517736,11000200001217,12.433329582214355,41.78588104248047,62.53291320800781,113266860032.0,33.11967468261719,18
9517736,12000100000685,12.286537170410156,41.67485427856445,62.14055633544922,314023411712.0,52.274906158447266,27
9517736,12000100000685,12.286537170410156,41.67485427856445,62.14055633544922,314023411712.0,52.274906158447266,27
9517736,13000100001026,11.955517768859863,41.5445556640625,61.71101379394531,367379447808.0,63.22252655029297,23
9517736,27000000001269,8.421697616577148,37.994808197021484,55.78068161010742,1256791867392.0,220.19305419921875,68
9517736,28000000000002,8.865488052368164,35.28427505493164,54.4319953918457,300211872202752.0,1411.31201171875,10366
14957972,14000000000477,6.393885612487793,31.748943328857422,65.79316711425781,1395118440448.0,105.56282806396484,68
14957972,15000000000545,6.366197109222412,31.87709617614746,65.52408599853516,1376015220736.0,112.35383605957031,64
21573586,12000000000047,10.53270149230957,29.230051040649414,54.796905517578125,1723088109568.0,92.20365905761719,200
21573586,13000000000044,10.835053443908691,29.55900001525879,54.604583740234375,4939602984960.0,150.3329315185547,295
10348673,12000200000400,3.310797691345215,50.56679153442383,43.48512649536133,136913772544.0,39.63883972167969,18
10348673,13000200000428,3.421701192855835,50.92814254760742,43.84833526611328,280317067264.0,57.771331787109375,18
10806033,16000000009039,48.732391357421875,65.7703628540039,57.68309783935547,124402049024.0,55.03862380981445,7
10806033,17000000004240,48.763587951660156,65.72318267822266,57.57679748535156,144595976192.0,63.004642486572266,17
10326234,16000000003920,1.3874342441558838,52.746337890625,60.16477584838867,307553140736.0,74.42158508300781,24
10326234,17000000003148,1.329064130783081,52.807411193847656,60.06601333618164,308232454144.0,81.08776092529297,26
10352660,13000600000661,93.68458557128906,90.17516326904297,11.274747848510742,114644393984.0,42.883811950683594,9
10352660,14000000008796,93.49894714355469,90.10882568359375,11.439842224121094,129214709760.0,47.762020111083984,10
10352660,19000500000204,92.16249084472656,89.56273651123047,13.184886932373047,500064190464.0,113.96065521240234,29
10352660,20000000002844,91.93063354492188,89.48546600341797,13.48723030090332,548714938368.0,124.15995025634766,28
10352660,20000000002844,91.93063354492188,89.48546600341797,13.48723030090332,548714938368.0,124.15995025634766,28
10352660,21000000002555,91.59821319580078,89.43920135498047,13.76628303527832,599955537920.0,134.71214294433594,33
10400500,19000400000481,99.24819946289062,28.7973575592041,31.618497848510742,577962377216.0,119.59502410888672,20
