GalaxyID,NSF_Mass,R_halfmass30,R_halfmass100,SubHaloGalaxyID
9508215,58708214000.0,1.8533623243064052,1.9283084757779032,9508215
9508214,91099950000.0,2.2555391360461456,2.3614597943923963,9508214
9508212,141505860000.0,2.6764935672533814,2.839694967615987,9508212
9508211,80619380000.0,2.7339355533228313,3.3888002726518955,9508211
9512130,26611057000.0,2.1336402970170534,2.215259553960132,9512130
9512129,35179844000.0,2.827513261042468,2.9340732827890106,9512129
9512118,396293830000.0,7.865906951031791,9.41267814475468,9512118
9512117,458649170000.0,6.926956783485937,8.334957254920226,9512117
9517753,5051131000.0,2.380467374861095,2.494388308127182,9517753
9517752,16788819000.0,5.097521238538199,5.117165510552435,9517752
9517752,16788819000.0,5.097521238538199,5.117165510552435,9517752
9517751,17466278000.0,3.6361132367448707,3.6884834724086613,9517751
9517737,11478430000.0,3.630111191964223,3.777612433814739,9517737
9517736,2897005300.0,4.036170609377972,4.46685304496735,9517736
14957986,59168186000.0,2.626756219455489,3.1874237842737765,14957986
14957985,64787255000.0,2.936070761204896,3.1627666490864854,14957985
21573601,447297020.0,0.877415242317038,0.877415242317038,21573601
21573600,270312260000.0,2.189697950344727,3.0507676189501973,21573600
10348689,11661521000.0,1.9877003369026869,2.03372660480847,10348689
10348688,16741352000.0,4.343046196199998,4.403388851271862,10348688
10806045,8574201000.0,4.252941897018202,4.534234803838766,10806045
10806044,14984638000.0,3.971889673788559,4.052313289626935,10806044
10326246,14383240000.0,3.1908855859993817,3.8310717189252363,10326246
10326245,17074883000.0,3.2471225466289915,3.4557539305510114,10326245
10352675,5056571000.0,2.9043352954088646,3.0101281795827752,10352675
10352674,5465735700.0,3.037598912102206,3.1133504573879343,10352674
10352669,14809188000.0,2.905659396171846,3.0176074430932855,10352669
10352668,17406419000.0,4.170670564472582,4.788858613709422,10352668
10352668,17406419000.0,4.170670564472582,4.788858613709422,10352668
10352667,19583517000.0,4.3850927228624785,4.601836277870985,10352667
10400509,13156661000.0,2.989258187121317,3.078881145014226,10400509
10400508,13632410000.0,2.182663598639505,2.363987607227157,10400508
10888028,15696635000.0,3.343669357254522,3.58048169336767,10888028
10888027,14327066000.0,2.77985867985821,2.812705121458686,10888027
12174577,27634065000.0,2.5362495090814794,2.625601151805691,12174577
12174576,34787082000.0,3.3140005556518406,3.5555190163093613,12174576
12174573,83818860000.0,3.5125853424979505,4.350244980076816,12174573
12174572,83340820000.0,4.378295871479121,4.807119067821299,12174572
12176839,7899105000.0,3.4439211429416807,3.808441212859434,12176839
12176838,2751989000.0,3.933236113894605,4.620211366690224,12176838
12178313,7457265700.0,4.0837090726611285,4.0837090726611285,12178313
12178308,32040823000.0,5.80831448123746,6.033674408236082,12178308
12178307,34243764000.0,4.950916353704741,5.204903497657139,12178307
12178306,39987737000.0,4.953545883706651,6.156325229423792,12178306
12178305,55687086000.0,3.2485847705026405,3.495087660688564,12178305
12180245,5926129700.0,1.9290164010011641,1.9290164010011641,12180245
12180244,6416708600.0,2.667602769147201,2.667602769147201,12180244
12180239,21338440000.0,3.5110135023759157,3.932105622933347,12180239
12180238,19315012000.0,3.5473827923702577,3.6778841380206844,12180238
12180238,19315012000.0,3.5473827923702577,3.6778841380206844,12180238
12180237,16091483000.0,3.7318765674045924,3.8967444824633555,12180237
17199691,164420000000.0,1.686105065529612,2.1396442668354485,17199691
17199690,158887460000.0,3.1588425757657284,3.732575558630303,17199690
18850006,173720930000.0,1.1283305323819894,1.1646072994033043,18850006
18850005,205449560000.0,1.0031010506097788,1.0659160411066906,18850005
18850002,706068740000.0,1.1635060293837716,1.2985821397115358,18850002
18850001,940082400000.0,1.9237215276653479,3.6498479448884447,18850001
10277857,14867662000.0,4.151164877896572,4.2932117203841,10277857
10277856,18787643000.0,4.878826133759046,4.9844842993417195,10277856
10387817,13918835000.0,2.4016975355090913,2.5454681230791465,10387817
10387816,13886472000.0,2.8631951695746563,3.0651772536783914,10387816
10387811,19639005000.0,4.209021050410511,4.577263348899342,10387811
10387810,20868893000.0,4.548553118432812,4.895089567354417,10387810
10414460,11206559000.0,5.378847143140592,5.768871781467801,10414460
10414459,14473616000.0,4.134677295433404,4.610375323932504,10414459
10414457,21035858000.0,4.178187096593471,4.9739743848976525,10414457
10414456,19042267000.0,3.928654807318289,4.028969091183204,10414456
10450117,10236234000.0,3.0453549527277732,3.0453549527277732,10450117
10450116,7323117000.0,3.198779212102393,3.198779212102393,10450116
10450110,15675557000.0,3.122889294174089,3.355799234168866,10450110
10450109,15367074000.0,4.0054575978481,4.141676238628424,10450109
10468002,5653529600.0,2.0652281104911925,2.1109896937210357,10468002
10468001,8708038000.0,4.370733486481931,4.385826884226185,10468001
10468001,8708038000.0,4.370733486481931,4.385826884226185,10468001
10468000,9414443000.0,3.010230123894503,3.0136125262339735,10468000
10763275,8852623000.0,3.997852476999157,4.127791910378062,10763275
10763274,11254130000.0,3.5172996919825055,3.7170841805068413,10763274
10763272,19470750000.0,5.023070759856253,5.218297304003328,10763272
10763271,18770428000.0,5.407672679109263,5.498104963766387,10763271
10779989,13958801000.0,3.547888673985729,3.6079445611258003,10779989
10779988,15578103000.0,3.355811561222574,3.4398301648553398,10779988
10961490,17899788000.0,5.991146721283244,6.425674001222079,10961490
10961489,18522698000.0,4.8877266370773285,5.065674666470864,10961489
10961486,18293352000.0,6.696557514905725,7.618558398964571,10961486
10961485,15472315000.0,5.709674130467353,6.272333347747375,10961485
10250796,11163696000.0,3.2892020501736763,3.37665424981227,10250796
10250795,11367243000.0,3.2829394569182333,3.369110873588164,10250795
10282286,29891492000.0,3.5304985448430464,3.7564822228803036,10282286
10282285,29064570000.0,3.5217353668928086,3.6984459434210466,10282285
10329255,4932169000.0,2.7407655037652146,2.7407655037652146,10329255
10329254,6161251000.0,3.5298848349459475,3.58512867324382,10329254
10329250,22518972000.0,3.6242770137040514,4.852698358918765,10329250
10329249,25436647000.0,3.9755742809265695,4.2187424089505745,10329249
10396174,4085298400.0,2.5627817285094916,2.5814911683708246,10396174
10396167,25325680000.0,2.8184626451632053,3.5832122057541502,10396167
10396166,25119382000.0,3.5806847622235933,3.76216963680552,10396166
10441854,9284379000.0,4.0423465751314165,4.047764448509677,10441854
10441853,14519318000.0,5.057912137441449,5.216875134959636,10441853
10465307,5074829300.0,4.369385561399364,4.4012871669609375,10465307
10465306,7515953000.0,4.0224607848443465,4.053501237211407,10465306
10791982,12884876000.0,4.172501434428301,4.269863609188671,10791982
10791981,15372211000.0,7.507900981002226,7.664140833335973,10791981
10791981,15372211000.0,7.507900981002226,7.664140833335973,10791981
10791980,16596068000.0,5.032963212399654,5.256900636234591,10791980
10791979,16533346000.0,5.9346303579968644,6.041010623009497,10791979
10791978,14445598000.0,3.392103253005102,3.47269913976116,10791978
10965896,8012220000.0,2.785130684926379,2.83516472489971,10965896
10965895,8054226400.0,3.081520482135063,3.214044160838609,10965895
11025605,6764688400.0,2.83433172779788,3.1254633586872704,11025605
11025604,10196293000.0,3.779576386135716,3.779576386135716,11025604
11025604,10196293000.0,3.779576386135716,3.779576386135716,11025604
11025603,10559528000.0,4.463852653820154,4.577829016608499,11025603
16300544,103647584000.0,3.3537783072271066,3.858924410424175,16300544
16300543,194988100000.0,3.5377603658491497,4.93660135567128,16300543
16300541,1354114500000.0,4.604655156699904,7.223456180856956,16300541
16300540,1725994100000.0,5.086006155267436,8.330756091868055,16300540
16300538,1869772800000.0,5.7366433898263045,10.374306306456795,16300538
16300537,1994910900000.0,6.105644418706429,10.446982407537321,16300537
16300536,2167955500000.0,7.2378356919783045,13.582744201250572,16300536
16300535,2446056000000.0,6.581524629485148,11.219194479051097,16300535
11501700,29021753000.0,2.3500813479851503,2.5683519310027068,11501700
11501699,28345320000.0,2.3394552118214063,2.4456967776355487,11501699
11502841,4350066700.0,2.6697785255836375,2.7182170680058446,11502841
11502829,11835892000.0,3.7603596474288867,3.893786806685388,11502829
11502828,10647257000.0,4.469571067204461,4.614500562643234,11502828
11503873,21458221000.0,3.285870217708816,3.3427993208733073,11503873
11503872,15814385000.0,3.411454619650836,3.500878193620233,11503872
5963344,33659613000.0,4.5473897352052965,5.1194613044769515,5963344
5963343,23828670000.0,6.7591398422528135,7.052906298740218,5963343
5958306,38857216000.0,2.4021935644867796,2.561724127889847,5958306
5958305,51923500000.0,2.2225538502556437,2.3304198355680663,5958305
17611287,118606660000.0,2.640799889821705,3.205517665215993,17611287
17611286,99955696000.0,3.138655611180526,3.7777766748655615,17611286
17611282,281438950000.0,4.632004930907487,11.832869369781278,17611282
17611281,288909700000.0,5.500555324295544,7.524632489328972,17611281
19927854,143720970000.0,3.1221327264776018,5.745722216032551,19927854
19927853,169948230000.0,2.201761175459275,3.0266314873022804,19927853
19927843,967153000000.0,3.592302085503635,5.689192450972942,19927843
19927842,1293426400000.0,6.358673899893864,11.958930890429126,19927842
13266450,126777460000.0,3.1968753015981712,4.01888275728049,13266450
13266449,124579660000.0,3.4601617814628836,4.0530127094886765,13266449
13266446,382581100000.0,4.103580410552677,5.211252495793711,13266446
13266445,445690450000.0,3.2613878020606184,3.746826401223378,13266445
13274336,13623774000.0,2.7635711309374424,3.070388156643948,13274336
13274335,23942885000.0,6.007125839258665,6.225843796938694,13274335
13274335,23942885000.0,6.007125839258665,6.225843796938694,13274335
13274334,29295755000.0,5.234972592681077,5.4775152553311575,13274334
13274332,34887670000.0,3.9992384616440386,4.845599019505004,13274332
13274331,33389212000.0,2.973824503178659,3.135030249790146,13274331
20058983,74131350000.0,1.1921735890432348,1.7428034157475192,20058983
20058982,78945250000.0,3.140157912875757,3.5458879460888078,20058982
20058974,399358070000.0,4.771059423418031,5.959188229116503,20058974
20058973,435938530000.0,5.829097729026522,7.110132814811698,20058973
20324233,115158220000.0,2.4272275046494465,5.621667937200543,20324233
20324232,144551900000.0,2.7738781405755697,4.795411630534989,20324232
20324232,144551900000.0,2.7738781405755697,4.795411630534989,20324232
20324231,151795840000.0,3.8840774047412143,5.639495820505434,20324231
20324224,1031349340000.0,4.515093239286684,7.1979401774514296,20324224
20324223,990468800000.0,5.852596790821686,8.464171047166833,20324223
20374382,232199570.0,0.8350434606991191,0.8350434606991191,20374382
20374381,399075770000.0,2.1180144285612874,3.10179652604182,20374381
14895234,71184340000.0,3.787659430283007,4.219747345466237,14895234
14895233,115528140000.0,2.0666309322508654,2.4986980423075837,14895233
14895226,968868760000.0,2.9138718862689807,3.873305694691244,14895226
14895225,1190207700000.0,4.617598613452564,6.892669612594861,14895225
14910196,78162760000.0,1.0192944791750826,1.0977749747650758,14910196
14910195,83823040000.0,1.816057922228866,2.0169792079124242,14910195
14916095,242037180000.0,2.4458160370631132,3.757898799401691,14916095
14916094,466252530000.0,0.7310426777443166,0.9285472268510311,14916094
14916085,3727274300000.0,1.5466596776986474,2.4237516624528337,14916085
14916084,3740223000000.0,2.378085842034057,4.5755744970590655,14916084
10670182,6462066000.0,2.664053306112443,2.873055899711839,10670182
10670181,8078120000.0,3.32435295923895,3.406241110900543,10670181
10670179,22933092000.0,3.6620029864312347,4.752692017110666,10670179
10670178,24441635000.0,3.58236369560194,3.8070998418453397,10670178
10670178,24441635000.0,3.58236369560194,3.8070998418453397,10670178
10670177,20065300000.0,4.114557569774523,4.3650323042474355,10670177
21924788,324334850.0,3.17634059541577,3.17634059541577,21924788
21924787,819515560000.0,2.566436564225937,3.7066035478526467,21924787
21924785,1391529300000.0,3.312700241739634,5.594605630533684,21924785
21924784,1698733400000.0,5.372532258590039,10.815832856278996,21924784
10664760,28820867000.0,3.36392667626311,4.037568003164935,10664760
10664759,27552162000.0,2.3123258454744087,2.4264042848304674,10664759
10668220,5386962400.0,4.7161726299130295,4.739311842796175,10668220
10668219,5717816000.0,5.190925919719274,5.227282038711547,10668219
10668217,8458081000.0,6.760360229059674,7.482233602671055,10668217
10668216,12764891000.0,4.23801902268626,4.384288743248727,10668216
10668213,23362540000.0,3.9526372780620838,4.236838913610143,10668213
10668212,18099472000.0,3.859903507684506,4.201403677326169,10668212
14978131,145568760000.0,2.0260919488154867,4.72109329072571,14978131
14978130,343715870.0,1.7590221444159275,1.7590221444159275,14978130
14978130,343715870.0,1.7590221444159275,1.7590221444159275,14978130
14978129,162844020000.0,3.0102941178415765,3.7686543242143817,14978129
14978125,1489021000000.0,3.7484131331132446,5.765751789203017,14978125
14978124,1555898700000.0,4.866514677400113,6.996714003280835,14978124
15673390,52507144000.0,0.3620354892868287,0.38151320405749833,15673390
15673389,541821400.0,0.5373152774130182,0.5373152774130182,15673389
15673389,541821400.0,0.5373152774130182,0.5373152774130182,15673389
15673388,82650310000.0,2.457539813206833,2.7617749260407303,15673388
15673384,608062000000.0,4.659563184876157,14.162873560212224,15673384
15673383,876663140000.0,8.5328168660615,18.06175406798856,15673383
15691074,133897126000.0,1.3258615466668582,1.5943460861633532,15691074
15691073,264479770000.0,1.9325980618650698,2.7061371017430047,15691073
15691069,651554850000.0,6.5438726533765985,9.873015725247523,15691069
15691068,1006373240000.0,6.004154693869204,9.36775344159056,15691068
15700121,68596085000.0,4.0303342219549325,4.705857773994099,15700121
15700120,48658000000.0,3.99051593973017,4.415664482766904,15700120
15705969,43829174000.0,3.513068928773267,3.659688642681084,15705969
15705968,53391282000.0,4.055375095850237,4.219079311679784,15705968
15705956,205436650000.0,4.53432129732144,5.029267123115702,15705956
15705955,16295015000.0,5.781776380288545,6.638538432998696,15705955
10657121,5692421600.0,5.29414514642924,5.29414514642924,10657121
10657116,10441250000.0,2.5136845778624353,2.5534115112121456,10657116
10657115,15190730000.0,3.2089557130785913,3.2544126881821107,10657115
11045638,2216796000.0,1.7436942175353334,1.7436942175353334,11045638
11045632,19154684000.0,2.950783222597132,3.4558867754041747,11045632
11045631,23894080000.0,4.440950683340371,4.630957231940974,11045631
11045631,23894080000.0,4.440950683340371,4.630957231940974,11045631
11045630,22246541000.0,4.077185873242479,4.301323595112262,11045630
11339156,10664595000.0,5.602118664320773,5.668357764615528,11339156
11339155,10449929000.0,3.987262797369996,4.049234849934293,11339155
19104588,373955300000.0,1.8193343728952447,5.012854429036135,19104588
19104587,505064620000.0,2.726190516554604,5.470800181328543,19104587
12648895,40602850000.0,1.9226045707000885,2.0337236675720685,12648895
12648894,45132222000.0,3.1542762303169662,3.41938130585432,12648894
12648894,45132222000.0,3.1542762303169662,3.41938130585432,12648894
12648893,51568247000.0,2.2058408524731634,2.385137534803932,12648893
12648883,289893400000.0,6.772934825284229,10.317914544416936,12648883
12648882,308198300000.0,5.597688154298363,7.957358473011414,12648882
12654699,42034205000.0,5.495352658913408,6.167679992707077,12654699
12654698,48863730000.0,3.6822823046521607,3.9722772113495113,12654698
13720607,50703553000.0,2.851242535578253,3.154213515836667,13720607
13720606,43055390000.0,3.565991522605873,3.8466356434645883,13720606
20770192,36390990000.0,3.24698228455951,3.7455758426252816,20770192
20770191,76124865000.0,4.554622009117476,6.130683413293945,20770191
20770191,76124865000.0,4.554622009117476,6.130683413293945,20770191
20770190,88896460000.0,3.130090385342399,3.3886899406344977,20770190
20770185,1299768400.0,4.886203838880272,4.886257144106945,20770185
20770184,383109270000.0,5.35805703171326,8.442150303628674,20770184
13817852,12578715000.0,2.0383043056131958,2.0537793285840626,13817852
13817851,14881282000.0,1.8837846907311229,1.8936004057200728,13817851
14449276,349062270000.0,3.915466824155789,5.690026305407815,14449276
14449275,331760000000.0,5.0217318051271755,6.110807291523836,14449275
14582108,322014180000.0,3.9463044352521135,5.26071901832268,14582108
14582107,522704100000.0,4.791892587124216,6.3267560407924615,14582107
10663974,6266539000.0,3.6463040837868324,4.006613295782055,10663974
10663973,7778163700.0,3.37249751775292,3.37249751775292,10663973
10663968,14957515000.0,2.873751270821398,2.9396569052204495,10663968
10663967,18142368000.0,3.795089291274959,3.9590034494123265,10663967
10644473,14759327000.0,1.7405070168169796,1.7569015177064238,10644473
10644472,18356759000.0,3.4155226605052715,3.495027367224227,10644472
10645740,36904780000.0,3.3078180471284084,4.939519911209652,10645740
10645739,50706964000.0,1.9977508633101184,2.443793716696264,10645739
10645739,50706964000.0,1.9977508633101184,2.443793716696264,10645739
10645738,53658580000.0,1.6760001957047985,1.7779440617994222,10645738
10645731,41297105000.0,3.7872385204160053,4.5391175433905415,10645731
10645730,4137005600.0,4.3120232012212005,5.21909691768084,10645730
10649332,5460799500.0,2.412682668644507,2.412682668644507,10649332
10649331,7346009600.0,3.6808764802673797,3.6944471171232927,10649331
10649325,57426340000.0,2.9264603788597094,3.252220281297132,10649325
10649324,55516447000.0,3.2648495028030027,3.5508934256231433,10649324
10653930,39261557000.0,3.5477903936737962,4.2052168531432885,10653930
10653929,43790200000.0,5.045591584303955,5.401692938312552,10653929
10655592,3723196700.0,2.9807826747294377,2.9807826747294377,10655592
10655591,6722019300.0,5.766872081334705,5.861977667574653,10655591
10655587,27117560000.0,7.403557073837569,9.005879210633134,10655587
10655586,30144688000.0,5.509650665461226,5.898136314646819,10655586
10627710,16388440000.0,3.4393738621317995,3.604514587200088,10627710
10627709,32427560000.0,3.2335641339811505,3.929097428825018,10627709
10627709,32427560000.0,3.2335641339811505,3.929097428825018,10627709
10627708,38904263000.0,4.8357361657773525,5.318043694051172,10627708
10627707,38531500000.0,4.887542984842399,6.295897418270236,10627707
10627706,41288585000.0,6.182780053322128,6.779324104462568,10627706
10629936,46684045000.0,1.5329981878268317,1.690130662406529,10629936
10629935,59561955000.0,2.8076901011876823,3.0833444102019305,10629935
10632954,45299306000.0,1.421754141307409,1.545637082925054,10632954
10632953,50351860000.0,1.0080863727919542,1.136336285169207,10632953
10632947,324358140000.0,4.315107957541024,5.781088460146388,10632947
10632946,321187740000.0,6.089788537387586,7.816226024383546,10632946
10639657,10899479000.0,10.45634536057742,10.603395358122942,10639657
10639656,9819252000.0,4.821270750332938,4.897243754928882,10639656
