GalaxyID_test,Max_snap,GroupID_test,Lm_snap1,Lm_snap2,Lm_snap3,Lm_snap4,Lm_snap5,Lm_snap6,Lm_snap7,Lm_snap8,Lm_snap9,Lm_snap10,Lm_snap11,Lm_snap12,Lm_snap13,Lm_snap14,Lm_snap15,Lm_snap16,Lm_snap17,Lm_snap18,Lm_snap19,Lm_snap20,Lm_snap21,Lm_snap22,Lm_snap23,Lm_snap24,Lm_snap25,Lm_snap26,Lm_snap27,Lm_snap28
10038408,11,28000000001872,,,,,1.0,1.0,1.0582565069198608,1.0,1.5069363117218018,1.0,189.8191070556641,1.0001981258392334,1.0195716619491575,1.0221995115280151,1.0469366312026978,1.0004088878631592,1.0005313158035278,1.0002535581588743,1.0047063827514648,1.0160834789276123,1.000045895576477,1.0,1.000555396080017,1.0002480745315552,1.0,1.0,1.0,1.0
18390234,11,28000000001006,,,1.0,1.0,1.8189185857772827,1.1290613412857056,1.025488018989563,1.0,1.389476656913757,1.0,256.42672729492193,1.000896692276001,1.1042978763580322,1.0023043155670166,1.0,1.0024694204330444,1.001959204673767,1.0079857110977173,1.3643710613250732,1.0253821611404421,1.0248627662658691,1.0048686265945437,1.0133018493652344,1.0158123970031738,1.0172152519226074,1.0314878225326538,1.0199217796325684,1.0051496028900146
13684843,11,28000000000109,,1.0,1.0054467916488647,1.0,2.0386943817138667,1.0483474731445312,1.0987807512283323,1.0088540315628052,1.3592660427093506,1.0,651.2206420898438,1.0005532503128052,1.0037797689437866,1.0040098428726196,9.828371047973633,1.0186526775360107,1.0170469284057615,1.55916166305542,1.0143451690673828,1.0009320974349976,1.000075101852417,1.0001058578491209,1.0,1.0004547834396362,1.0000498294830322,1.0020235776901243,1.0006989240646362,1.0013260841369631
20655128,12,28000000000107,,1.0,1.2815552949905396,2.384700298309326,1.0157053470611572,1.34300696849823,1.015922784805298,1.0088460445404053,1.0103309154510498,1.0075308084487915,1.0,353.22894287109375,1.2869104146957395,1.016452431678772,1.0180897712707522,1.0177186727523804,1.0455803871154783,1.0148844718933103,1.0128211975097656,1.0013142824172974,1.0038206577301023,1.0028848648071291,1.0400638580322266,1.0009043216705322,1.0010213851928709,1.0025334358215332,1.0014139413833618,1.0000543594360352
19076566,12,28000000000037,,1.0,3.5059049129486084,1.1891169548034668,1.168120503425598,1.3989495038986206,1.0452711582183838,1.016707181930542,1.0657132863998413,1.0018750429153442,1.0,217.5791931152344,1.0102369785308838,1.00363028049469,1.0112184286117554,1.0551340579986572,1.0053147077560425,1.012197971343994,1.0136871337890625,1.014546036720276,1.0173661708831787,1.0082972049713137,1.0227797031402588,1.233775973320007,1.0012972354888916,1.0129326581954956,1.0003831386566162,1.0744547843933103
16952404,13,28000000000533,,,,1.0,1.0,1.0,1.0,1.0,2.0275347232818604,1.0,1.0,1.0,305.21514892578125,1.0009028911590576,1.0150651931762695,1.0416221618652344,1.0210942029953003,1.0351622104644775,1.022907853126526,1.28305184841156,1.0026470422744749,1.0000618696212769,1.0000238418579102,1.0075722932815552,1.003377914428711,1.0000119209289549,1.0048232078552246,1.0014575719833374
12713420,13,28000000000046,,1.0,1.0,1.0,2.3836112022399902,1.2954976558685305,1.0017262697219849,1.0084965229034424,1.000996232032776,1.0049638748168943,1.0332016944885254,1.0,217.51983642578125,1.0213016271591189,1.0036214590072632,1.020288348197937,1.010736107826233,1.0000680685043335,1.0037342309951782,1.0012094974517822,1.0075355768203735,1.002006769180298,1.0,1.0,1.0,1.0,1.0,1.0
20099625,13,28000000000009,,1.0,1.0,1.0,1.0154304504394531,4.1324195861816415,1.1411700248718262,1.028594136238098,1.1349892616271973,1.0248104333877563,1.000578999519348,1.0,1518.97265625,1.05499267578125,1.0088721513748171,1.0135025978088381,1.0074554681777954,1.051931381225586,1.702947020530701,1.142087697982788,1.1031053066253662,1.0043954849243164,1.0054394006729126,1.004344820976257,1.0026079416275024,1.0020151138305664,1.0011435747146606,1.0020201206207275
10931856,14,28000000002668,,,,,,,,,1.0,1.0,1.0,1.4294353723526,1.0,426.4049377441406,1.0966851711273191,1.0581929683685305,1.006153583526611,1.0409972667694092,1.0014364719390871,1.0095283985137942,1.0112084150314329,1.0,1.0092724561691284,1.0002247095108032,1.0131620168685913,1.0,1.0152937173843384,1.0000756978988647
14687754,16,28000000000188,,1.0,1.0,1.0,1.9209797382354736,1.1645143032073977,1.0,1.0153634548187256,1.1152962446212769,1.0915654897689822,1.0925573110580444,1.1304700374603271,1.005581259727478,1.0539109706878662,1.0,207.4729156494141,1.0178561210632324,1.0232847929000854,1.021206974983215,1.3940870761871338,1.0091989040374756,1.0142425298690796,1.0045466423034668,1.0081899166107178,1.0031151771545408,1.001287817955017,1.0010885000228882,1.009308934211731
